dataset,backbone,regime,event_recall_base,event_recall_bech,event_recall_delta,complete_miss_rate_base,complete_miss_rate_bech,complete_miss_rate_delta,boundary_mismatch_rate_base,boundary_mismatch_rate_bech,boundary_mismatch_rate_delta,fragmented_rate_base,fragmented_rate_bech,fragmented_rate_delta,exact_boundary_rate_base,exact_boundary_rate_bech,exact_boundary_rate_delta,point_recall_base,point_recall_bech,point_recall_delta,point_precision_base,point_precision_bech,point_precision_delta,mae_on_true_event_hours_base,mae_on_true_event_hours_bech,mae_on_true_event_hours_delta
UNIELEC_AT,GBDT,negative,0.273972602739726,0.273972602739726,0.0,0.726027397260274,0.726027397260274,0.0,0.2328767123287671,0.2328767123287671,0.0,0.0136986301369863,0.0136986301369863,0.0,0.0273972602739726,0.0273972602739726,0.0,0.18867924528301888,0.18867924528301888,0.0,0.7317073170731707,0.7317073170731707,0.0,36.36776430737476,36.36776430737476,0.0
UNIELEC_AT,GBDT,spike,0.48071495766698025,0.48071495766698025,0.0,0.5192850423330198,0.5192850423330198,0.0,0.33584195672624645,0.33584195672624645,0.0,0.07055503292568203,0.07055503292568203,0.0,0.07431796801505174,0.07431796801505174,0.0,0.3364886586890516,0.3364886586890516,0.0,0.9312901631240732,0.9312901631240732,0.0,53.8624600105767,53.8624600105767,0.0
UNIELEC_AT,Linear,negative,0.1095890410958904,0.1095890410958904,0.0,0.8904109589041096,0.8904109589041096,0.0,0.1095890410958904,0.1095890410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06918238993710692,0.06918238993710692,0.0,0.5641025641025641,0.5641025641025641,0.0,40.16366364393661,40.16366364393661,0.0
UNIELEC_AT,Linear,spike,0.9012229539040452,0.9012229539040452,0.0,0.09877704609595485,0.09877704609595485,0.0,0.5032925682031985,0.5032925682031985,0.0,0.11665098777046096,0.11665098777046096,0.0,0.2812793979303857,0.2812793979303857,0.0,0.8623861403822111,0.8623861403822111,0.0,0.9220853623603552,0.9220853623603552,0.0,18.660884667844524,18.660884667844524,0.0
UNIELEC_BE,GBDT,negative,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.21172907308453,47.24983236104362,-0.9618967120409039
UNIELEC_BE,GBDT,spike,0.36657681940700804,0.36657681940700804,0.0,0.633423180592992,0.633423180592992,0.0,0.29784366576819404,0.29784366576819404,0.0,0.04177897574123989,0.04177897574123989,0.0,0.026954177897574125,0.026954177897574125,0.0,0.1630387461906835,0.1630387461906835,0.0,0.7415841584158416,0.7415841584158416,0.0,86.68748637135234,86.68748637135234,0.0
UNIELEC_BE,Linear,negative,0.07857142857142863,0.07857142857142863,0.0,0.9214285714285714,0.9214285714285714,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.0,0.056818181818181816,0.056818181818181816,0.0,0.813953488372093,0.813953488372093,0.0,45.064304777353456,45.064304777353456,0.0
UNIELEC_BE,Linear,spike,0.5444743935309972,0.5444743935309972,0.0,0.4555256064690027,0.4555256064690027,0.0,0.4056603773584906,0.4056603773584906,0.0,0.02830188679245283,0.02830188679245283,0.0,0.1105121293800539,0.1105121293800539,0.0,0.6449717022202873,0.6449717022202873,0.0,0.8805349182763744,0.8805349182763744,0.0,32.36645505583445,32.36645505583445,0.0
UNIELEC_CZ,GBDT,negative,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,44.05548336112982,44.05548336112982,0.0
UNIELEC_CZ,GBDT,spike,0.45884413309982486,0.45884413309982486,0.0,0.5411558669001751,0.5411558669001751,0.0,0.3213660245183888,0.3213660245183888,0.0,0.09544658493870403,0.09544658493870403,0.0,0.04203152364273205,0.04203152364273205,0.0,0.29508649245491353,0.29508649245491353,0.0,0.9218166139695315,0.9218166139695315,0.0,56.91328450293183,56.91328450293183,0.0
UNIELEC_CZ,Linear,negative,0.18367346938775508,0.18367346938775508,0.0,0.8163265306122449,0.8163265306122449,0.0,0.17346938775510204,0.17346938775510204,0.0,0.0,0.0,0.0,0.01020408163265306,0.01020408163265306,0.0,0.13394919168591224,0.13394919168591224,0.0,0.8285714285714286,0.8285714285714286,0.0,39.78905903555208,39.78905903555208,0.0
UNIELEC_CZ,Linear,spike,0.882661996497373,0.882661996497373,0.0,0.11733800350262696,0.11733800350262696,0.0,0.5542907180385289,0.5542907180385289,0.0,0.11646234676007006,0.11646234676007006,0.0,0.2119089316987741,0.2119089316987741,0.0,0.8150533676849466,0.8150533676849466,0.0,0.8929435483870968,0.8929435483870968,0.0,22.61053282927617,22.61053282927617,0.0
