dataset,backbone,regime,predictor,n_true_events,n_pred_events,event_recall,complete_miss_rate,boundary_mismatch_rate,fragmented_rate,exact_boundary_rate,mean_best_iou_matched,mean_boundary_l1_h_matched,mean_duration_abs_error_h_matched,false_event_rate,point_recall,point_precision,mae_on_true_event_hours,spike_thr_train
NEM_SA1,GBDT,negative,bech,378,438,0.6904761904761905,0.30952380952380953,0.5238095238095238,0.14814814814814814,0.018518518518518517,0.5036066085446,4.8773946360153255,4.379310344827586,0.2899543378995434,0.5111969111969112,0.6899426784783742,85.96940880088555,612.0564999999992
NEM_SA1,GBDT,spike,base,21,46,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.0,0.0,0.36296296296296293,9.5,9.5,0.8913043478260869,0.37254901960784315,0.06551724137931035,2896.1278159152657,612.0564999999992
NEM_SA1,GBDT,spike,bech,21,49,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.0,0.0,0.3768518518518518,8.166666666666666,8.166666666666666,0.8979591836734694,0.37254901960784315,0.06713780918727916,2896.1278159152657,612.0564999999992
NEM_VIC1,Linear,negative,base,333,191,0.4504504504504504,0.5495495495495496,0.4264264264264264,0.0,0.024024024024024024,0.5427352359542762,4.653333333333333,4.266666666666667,0.225130890052356,0.37877312560856863,0.7243947858472998,49.784353873279414,484.9847916666659
NEM_VIC1,Linear,negative,bech,333,234,0.5495495495495495,0.45045045045045046,0.5135135135135135,0.006006006006006006,0.03003003003003003,0.5563876724068065,4.26775956284153,3.7540983606557377,0.23076923076923078,0.47370983446932813,0.6994967649173257,45.14851793335423,484.9847916666659
NEM_VIC1,Linear,spike,base,12,12,0.16666666666666663,0.8333333333333334,0.16666666666666666,0.0,0.0,0.375,4.5,4.5,0.8333333333333334,0.14285714285714285,0.07352941176470588,2780.7570187637693,484.9847916666659
NEM_VIC1,Linear,spike,bech,12,13,0.16666666666666663,0.8333333333333334,0.16666666666666666,0.0,0.0,0.375,4.5,4.5,0.8461538461538461,0.14285714285714285,0.07692307692307693,2780.7570187637693,484.9847916666659
NEM_VIC1,GBDT,negative,base,333,252,0.45345345345345345,0.5465465465465466,0.4114114114114114,0.03003003003003003,0.012012012012012012,0.5161886736761668,4.66887417218543,4.059602649006623,0.3531746031746032,0.36270691333982474,0.6723826714801444,44.90760968417959,484.9847916666659
NEM_VIC1,GBDT,negative,bech,333,328,0.6006006006006006,0.3993993993993994,0.5705705705705706,0.018018018018018018,0.012012012012012012,0.5481375088404887,4.1,3.52,0.38414634146341464,0.5024342745861733,0.6157517899761337,39.614066605515305,484.9847916666659
NEM_VIC1,GBDT,spike,base,12,28,0.33333333333333337,0.6666666666666666,0.3333333333333333,0.0,0.0,0.5083333333333333,2.25,1.75,0.8571428571428571,0.2571428571428571,0.140625,2820.9681111510986,484.9847916666659
