component,role,metric,cell,market,host,on_config,off_config,on_value,off_value,delta_on_minus_off,favours
shape_semantic_context,diagnostic,overall_mae,SHAANXI_DA::LSTM,SHAANXI_DA,LSTM,FULL,NO_SHAPE_CONTEXT,92.42649431667324,90.3310178143726,2.0954765023006416,OFF
shape_semantic_context,diagnostic,overall_mae,SHAANXI_DA::PatchTST,SHAANXI_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,97.20346775912078,99.99535734128611,-2.791889582165325,ON
shape_semantic_context,diagnostic,overall_mae,SHAANXI_DA::TimeMixer,SHAANXI_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,95.99703374054111,94.38304494711073,1.61398879343038,OFF
shape_semantic_context,diagnostic,overall_mae,SHAANXI_DA::iTransformer,SHAANXI_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,104.99670378824264,104.35290235612989,0.6438014321127525,OFF
shape_semantic_context,diagnostic,overall_mae,SHANDONG_DA::LSTM,SHANDONG_DA,LSTM,FULL,NO_SHAPE_CONTEXT,112.07407473024251,98.15856022097476,13.915514509267751,OFF
shape_semantic_context,diagnostic,overall_mae,SHANDONG_DA::PatchTST,SHANDONG_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,104.54520284744483,91.0092265979169,13.53597624952792,OFF
shape_semantic_context,diagnostic,overall_mae,SHANDONG_DA::TimeMixer,SHANDONG_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,103.75901783154427,90.9556096678732,12.803408163671065,OFF
shape_semantic_context,diagnostic,overall_mae,SHANDONG_DA::iTransformer,SHANDONG_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,111.07893737989865,96.22555250502631,14.853384874872333,OFF
use_tcn,primary,tail_mae,GANSU_DA::LSTM,GANSU_DA,LSTM,FULL,NO_TCN,57.11006005088055,40.90535799290712,16.204702057973428,OFF
use_tcn,primary,tail_mae,GANSU_DA::PatchTST,GANSU_DA,PatchTST,FULL,NO_TCN,17.45318676416114,7.62575375649742,9.827433007663718,OFF
use_tcn,primary,tail_mae,GANSU_DA::TimeMixer,GANSU_DA,TimeMixer,FULL,NO_TCN,49.805999672096085,48.61810007433619,1.1878995977598947,OFF
use_tcn,primary,tail_mae,GANSU_DA::iTransformer,GANSU_DA,iTransformer,FULL,NO_TCN,48.317395592792536,35.39353495296748,12.923860639825058,OFF
use_tcn,primary,tail_mae,NINGXIA_DA::LSTM,NINGXIA_DA,LSTM,FULL,NO_TCN,70.23184676397415,70.23184676397415,0.0,TIE
use_tcn,primary,tail_mae,NINGXIA_DA::PatchTST,NINGXIA_DA,PatchTST,FULL,NO_TCN,73.18104904417008,73.18104904417008,0.0,TIE
use_tcn,primary,tail_mae,NINGXIA_DA::TimeMixer,NINGXIA_DA,TimeMixer,FULL,NO_TCN,99.5849840678866,99.5849840678866,0.0,TIE
use_tcn,primary,tail_mae,NINGXIA_DA::iTransformer,NINGXIA_DA,iTransformer,FULL,NO_TCN,70.4630389743381,70.4630389743381,0.0,TIE
use_tcn,primary,tail_mae,QINGHAI_DA::LSTM,QINGHAI_DA,LSTM,FULL,NO_TCN,136.37490321461797,127.97264518680484,8.402258027813133,OFF
use_tcn,primary,tail_mae,QINGHAI_DA::PatchTST,QINGHAI_DA,PatchTST,FULL,NO_TCN,122.24341776603946,114.15301649980776,8.090401266231694,OFF
use_tcn,primary,tail_mae,QINGHAI_DA::TimeMixer,QINGHAI_DA,TimeMixer,FULL,NO_TCN,130.48988388601208,128.6217399174637,1.8681439685483667,OFF
