physical_market_group,dataset_id,backbone,method,method_display,partition,fidelity_status,setting,table,n_days,n_hours,Overall_MAE,MSE,RMSE,Host_Overall_MAE,relative_gain_vs_Host_pct,Tail_MAE,Upper_tail_MAE,Lower_tail_MAE,Normal_region_MAE,Host_Normal_region_MAE,Normal_harm_vs_Host,n_upper_tail_hours,n_lower_tail_hours,n_normal_hours,Tail_MAE_Host,Extreme_day_MAE,n_extreme_days,Extreme_day_MAE_Host,extreme_day_subset_status,Upper_tail_day_MAE,n_upper_tail_days,upper_tail_day_subset_status,negative_price_subset_status,n_negative_hours,Negative_price_MAE,Negative_price_MAE_Host,n_negative_days
QINGHAI,QINGHAI_DA,PatchTST,Host,Host (frozen),DEV_EVAL,"frozen Host, no post-processing",STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,6,144,110.85987186431885,19089.737805278215,138.16561730502352,110.85987186431885,0.0,111.58940823872884,174.3548856462751,71.64774079756303,110.13033548990886,110.13033548990886,0.0,28,44,72,111.58940823872884,117.06361274719238,5,117.06361274719238,OK,117.06361274719238,5,OK,NOT_APPLICABLE_N0,0,,,0
QINGHAI,QINGHAI_DA,PatchTST,MatchedDirectResidual,MatchedDirectResidual,DEV_EVAL,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,6,144,125.52915040817525,27527.985829643247,165.91559851214487,110.85987186431885,-13.232270881397106,123.37657690379355,208.9073826926095,68.94788231091066,127.68172391255696,110.13033548990886,17.551388422648103,28,44,72,111.58940823872884,134.66674699982008,5,117.06361274719238,OK,134.66674699982008,5,OK,NOT_APPLICABLE_N0,0,,,0
QINGHAI,QINGHAI_DA,PatchTST,delta_Adapter_AdaY,delta-Adapter (Ada-Y),DEV_EVAL,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,6,144,110.7663416200214,19086.643109093988,138.15441762424388,110.85987186431885,0.08436798881738386,111.56017703480191,174.78809901646204,71.32422668283635,109.97250620524089,110.13033548990886,-0.15782928466796875,28,44,72,111.58940823872884,116.9226934115092,5,117.06361274719238,OK,116.9226934115092,5,OK,NOT_APPLICABLE_N0,0,,,0
QINGHAI,QINGHAI_DA,PatchTST,PIR_paper_protocol,PIR,DEV_EVAL,PAPER_FAITHFUL_EXACT_ACCEPTED,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,6,144,146.19111601511636,33262.343814860134,182.37966941208148,110.85987186431885,-31.870183102898896,141.4701722462972,180.51618031093054,116.62271256880327,150.91205978393555,110.13033548990886,40.78172429402669,28,44,72,111.58940823872884,141.36109364827473,5,117.06361274719238,OK,141.36109364827473,5,OK,NOT_APPLICABLE_N0,0,,,0
QINGHAI,QINGHAI_DA,PatchTST,COSA_online,COSA_online,DEV_EVAL,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,ONLINE_TTA_scored_on_adapted_days,supplementary,6,144,110.84938605626424,19084.476285672255,138.14657536715217,110.85987186431885,0.00945861462607896,111.55874008602567,174.31493813650948,71.62297769026323,110.14003202650282,110.13033548990886,0.009696536593963856,28,44,72,111.58940823872884,117.05102977752685,5,117.06361274719238,OK,117.05102977752685,5,OK,NOT_APPLICABLE_N0,0,,,0
QINGHAI,QINGHAI_DA,TimeMixer,Host,Host (frozen),DEV_EVAL,"frozen Host, no post-processing",STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,6,144,114.15169938405354,21590.61180876223,146.937441820532,114.15169938405354,0.0,104.84685452779134,194.42909676688058,47.83997310291637,123.45654424031575,123.45654424031575,0.0,28,44,72,104.84685452779134,117.19632911682129,5,117.19632911682129,OK,117.19632911682129,5,OK,NOT_APPLICABLE_N0,0,,,0
QINGHAI,QINGHAI_DA,TimeMixer,MatchedDirectResidual,MatchedDirectResidual,DEV_EVAL,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,6,144,145.22210892041525,37296.99011889474,193.12428671426787,114.15169938405354,-27.218525614610428,135.28194559945,252.76249776567732,60.521594220941715,155.1622722413805,123.45654424031575,31.70572800106474,28,44,72,104.84685452779134,154.48082056045533,5,117.19632911682129,OK,154.48082056045533,5,OK,NOT_APPLICABLE_N0,0,,,0
QINGHAI,QINGHAI_DA,TimeMixer,delta_Adapter_AdaY,delta-Adapter (Ada-Y),DEV_EVAL,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,6,144,114.3556128491958,21641.342449525357,147.109967199797,114.15169938405354,-0.17863375336726334,105.11685559815831,194.21502249581474,48.41802211783149,123.59437010023329,123.45654424031575,0.13782585991754104,28,44,72,104.84685452779134,117.44871287544568,5,117.19632911682129,OK,117.44871287544568,5,OK,NOT_APPLICABLE_N0,0,,,0
QINGHAI,QINGHAI_DA,TimeMixer,PIR_paper_protocol,PIR,DEV_EVAL,PAPER_FAITHFUL_EXACT_ACCEPTED,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,6,144,171.94253529442682,46748.45198589951,216.21390331312998,114.15169938405354,-50.6263474150665,162.15878126356336,171.29490116664343,156.34488677978516,181.72628932529025,123.45654424031575,58.2697450849745,28,44,72,104.84685452779134,160.04654820760092,5,117.19632911682129,OK,160.04654820760092,5,OK,NOT_APPLICABLE_N0,0,,,0
QINGHAI,QINGHAI_DA,TimeMixer,COSA_online,COSA_online,DEV_EVAL,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,ONLINE_TTA_scored_on_adapted_days,supplementary,6,144,114.09600608547528,21574.571126568553,146.88284830628984,114.15169938405354,0.04878884754127666,104.75378271606233,194.3740452357701,47.722706567157395,123.43822945488824,123.45654424031575,-0.018314785427506308,28,44,72,104.84685452779134,117.12949715852737,5,117.19632911682129,OK,117.12949715852737,5,OK,NOT_APPLICABLE_N0,0,,,0
