market,host,method,tertile,frozen_threshold_low,frozen_threshold_high,n_days,shape_cosine,wrong_hemisphere_rate,relative_gain_pct,Tail_MAE,Normal_MAE,HRSI_minus_S1_shape_cosine,HRSI_minus_S1_wrong_hemisphere_rate,HRSI_minus_S1_relative_gain_pct,HRSI_minus_S1_Tail_MAE,HRSI_minus_S1_Normal_MAE
LAGO_PJM,PatchTST,HRSI_HostRelativeStateInteraction,HIGH,2.80550292242672,6.965916461232714,36.0,0.059855155646800995,0.53125,-2.9531143793667813,9.609788282070731,2.9457160755530936,0.006590105593204498,0.0,-0.25971281724316153,-0.02296142502462928,0.010683295047695829
LAGO_PJM,PatchTST,HRSI_HostRelativeStateInteraction,LOW,2.80550292242672,6.965916461232714,23.0,0.15179230272769928,0.37037037037037035,-0.7715479910210191,9.67353598299534,2.4531698326519447,0.015388578176498413,-0.037037037037037035,-0.3917307356200674,-0.20541721993841655,0.004236822509702254
LAGO_PJM,PatchTST,HRSI_HostRelativeStateInteraction,MID,2.80550292242672,6.965916461232714,50.0,0.15757475793361664,0.36,0.03048288338020557,12.466228349011063,2.8493611888938437,0.008220762014389038,-0.012093023255813962,-0.12094722996892188,-0.005002624596068372,0.001753229171282289
LAGO_PJM,PatchTST,S1_DailyPatch_GRU32,HIGH,2.80550292242672,6.965916461232714,36.0,0.0532650500535965,0.53125,-2.69340156212362,9.63274970709536,2.9350327805053977,,,,,
LAGO_PJM,PatchTST,S1_DailyPatch_GRU32,LOW,2.80550292242672,6.965916461232714,23.0,0.13640372455120087,0.4074074074074074,-0.37981725540095174,9.878953202933756,2.4489330101422424,,,,,
LAGO_PJM,PatchTST,S1_DailyPatch_GRU32,MID,2.80550292242672,6.965916461232714,50.0,0.1493539959192276,0.37209302325581395,0.15143011334912745,12.471230973607131,2.8476079597225614,,,,,
LAGO_PJM,TimeMixer,HRSI_HostRelativeStateInteraction,HIGH,3.0256393446024927,7.683653406141004,28.0,0.4626825153827667,0.07692307692307693,6.344336057592021,8.499038780833104,2.9322742088319558,-0.000253528356552124,0.0,-0.589158848462719,-0.13904592296870533,0.031484061026606724
LAGO_PJM,TimeMixer,HRSI_HostRelativeStateInteraction,LOW,3.0256393446024927,7.683653406141004,30.0,0.5329042077064514,0.1,8.040062483436316,8.66079172988944,2.655543842405134,-0.0005550980567932129,0.0,-0.7024695161723518,-0.16268741820800336,-0.0018114577514571906
LAGO_PJM,TimeMixer,HRSI_HostRelativeStateInteraction,MID,3.0256393446024927,7.683653406141004,53.0,0.3144901394844055,0.2549019607843137,-0.02337257612313157,7.428206711962314,2.96207763156607,0.0003052055835723877,0.0,-0.3784432143719934,0.0003391589275159035,0.011491922058892268
LAGO_PJM,TimeMixer,S1_DailyPatch_GRU32,HIGH,3.0256393446024927,7.683653406141004,28.0,0.46293604373931885,0.07692307692307693,6.93349490605474,8.638084703801809,2.900790147805349,,,,,
LAGO_PJM,TimeMixer,S1_DailyPatch_GRU32,LOW,3.0256393446024927,7.683653406141004,30.0,0.5334593057632446,0.1,8.742531999608667,8.823479148097443,2.657355300156591,,,,,
LAGO_PJM,TimeMixer,S1_DailyPatch_GRU32,MID,3.0256393446024927,7.683653406141004,53.0,0.31418493390083313,0.2549019607843137,0.3550706382488618,7.427867553034798,2.9505857095071777,,,,,
