group,check,ok,detail
artifacts,hash::GANSU_DA::iTransformer::FULL::s7,True,"{""on_disk"": ""4FA7CAC0C0202D3D0E5B97B34FBBA359A8166CE9D7F2F9E0A3EBF0A476A80462"", ""indexed"": ""4FA7CAC0C0202D3D0E5B97B34FBBA359A8166CE9D7F2F9E0A3EBF0A476A80462""}"
artifacts,identity::GANSU_DA::iTransformer::FULL::s17,True,"{""config"": ""FULL"", ""seed"": 17, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::iTransformer::FULL::s17,True,"{""on_disk"": ""FB936D6B8819D3750F291B541A991F1DC00E782FA424275A6E699ABDCEE6C33F"", ""indexed"": ""FB936D6B8819D3750F291B541A991F1DC00E782FA424275A6E699ABDCEE6C33F""}"
artifacts,identity::GANSU_DA::iTransformer::FULL::s37,True,"{""config"": ""FULL"", ""seed"": 37, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::iTransformer::FULL::s37,True,"{""on_disk"": ""006E98E342D19F5BBD0B8C4180EE6D4F246DADC1FA43614B837974672765E433"", ""indexed"": ""006E98E342D19F5BBD0B8C4180EE6D4F246DADC1FA43614B837974672765E433""}"
artifacts,identity::GANSU_DA::iTransformer::NO_RARE_MASS::s7,True,"{""config"": ""NO_RARE_MASS"", ""seed"": 7, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::iTransformer::NO_RARE_MASS::s7,True,"{""on_disk"": ""D6851E09CAFB6E236BCB335AE355B6F4733C68DE6355AE5D28DC802C8A84315F"", ""indexed"": ""D6851E09CAFB6E236BCB335AE355B6F4733C68DE6355AE5D28DC802C8A84315F""}"
artifacts,identity::GANSU_DA::iTransformer::NO_RARE_MASS::s17,True,"{""config"": ""NO_RARE_MASS"", ""seed"": 17, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::iTransformer::NO_RARE_MASS::s17,True,"{""on_disk"": ""046D8DEE361CE87B0AE6BAF5274B96E49DA3B13D3ADC6355D78C67170316F6E6"", ""indexed"": ""046D8DEE361CE87B0AE6BAF5274B96E49DA3B13D3ADC6355D78C67170316F6E6""}"
artifacts,identity::GANSU_DA::iTransformer::NO_RARE_MASS::s37,True,"{""config"": ""NO_RARE_MASS"", ""seed"": 37, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::iTransformer::NO_RARE_MASS::s37,True,"{""on_disk"": ""D99594DD3993E8BDB11A9D29139B9A0A94F157D3CFD81958FF7430C8BEABC94D"", ""indexed"": ""D99594DD3993E8BDB11A9D29139B9A0A94F157D3CFD81958FF7430C8BEABC94D""}"
artifacts,identity::GANSU_DA::iTransformer::NO_SHAPE_CONTEXT::s7,True,"{""config"": ""NO_SHAPE_CONTEXT"", ""seed"": 7, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::iTransformer::NO_SHAPE_CONTEXT::s7,True,"{""on_disk"": ""11E320856F2BEDA6806BBE9D92F3FDBEED9FDAB6E9FCB53FD05821EB059A612F"", ""indexed"": ""11E320856F2BEDA6806BBE9D92F3FDBEED9FDAB6E9FCB53FD05821EB059A612F""}"
artifacts,identity::GANSU_DA::iTransformer::NO_SHAPE_CONTEXT::s17,True,"{""config"": ""NO_SHAPE_CONTEXT"", ""seed"": 17, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::iTransformer::NO_SHAPE_CONTEXT::s17,True,"{""on_disk"": ""C9232FD5DFC5E569C1B16724F0D9EFC80259315BF74E1812C77F3632D13A2C88"", ""indexed"": ""C9232FD5DFC5E569C1B16724F0D9EFC80259315BF74E1812C77F3632D13A2C88""}"
artifacts,identity::GANSU_DA::iTransformer::NO_SHAPE_CONTEXT::s37,True,"{""config"": ""NO_SHAPE_CONTEXT"", ""seed"": 37, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::iTransformer::NO_SHAPE_CONTEXT::s37,True,"{""on_disk"": ""A7CE8231F0E8D18C639F01C785A3290934FDBD56257D2056ADC490E8BF167114"", ""indexed"": ""A7CE8231F0E8D18C639F01C785A3290934FDBD56257D2056ADC490E8BF167114""}"
artifacts,identity::GANSU_DA::iTransformer::NO_TCN::s7,True,"{""config"": ""NO_TCN"", ""seed"": 7, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::iTransformer::NO_TCN::s7,True,"{""on_disk"": ""169749DB80737AD7ACF1771467F6D788E853D8268E054C8793F2B52DFAE22598"", ""indexed"": ""169749DB80737AD7ACF1771467F6D788E853D8268E054C8793F2B52DFAE22598""}"
artifacts,identity::GANSU_DA::iTransformer::NO_TCN::s17,True,"{""config"": ""NO_TCN"", ""seed"": 17, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::iTransformer::NO_TCN::s17,True,"{""on_disk"": ""7C4D9CCC7F612D61089FAD584A9389EEB4C354B09B380E8D3A79F12E823A649D"", ""indexed"": ""7C4D9CCC7F612D61089FAD584A9389EEB4C354B09B380E8D3A79F12E823A649D""}"
artifacts,identity::GANSU_DA::iTransformer::NO_TCN::s37,True,"{""config"": ""NO_TCN"", ""seed"": 37, ""partition"": ""DEV_EVAL""}"
