group,variant,market,host,cell,seed,val_mae_ema,val_mae_raw,val_host_mae,val_gain_vs_host_pct,val_correction_ratio,val_mean_abs_correction,train_mae_ema,train_host_mae,train_correction_ratio,diag_reconstruction_mae,diag_level,diag_B,diag_shape,selected_step,selected_check,stopped_at_step,check_count,selected_after_switch,n_train_rows,n_val_rows,parameter_count,switch_step,test_target_read_count,code_hash,common_code_hash,finite
critical,GEOM_COUPLED,SHAANXI_DA,TimeMixer,SHAANXI_DA__TimeMixer,17,103.5277252197,104.8676757812,103.5921554565,0.0621960577,0.0215521865,2.2326374054,73.1027679443,73.7011642456,0.03006538,2.5318758488,0.7724560499,0.9615098238,3.7393512726,200,4,800,17,False,219,41,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,SHAANXI_DA,TimeMixer,SHAANXI_DA__TimeMixer,37,103.523651123,103.6252822876,103.5921554565,0.0661288813,0.0318599865,3.300444603,72.7105255127,73.7011642456,0.0445180908,2.5182907581,0.7696539164,0.899543047,3.6540873051,250,5,800,17,False,219,41,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,SHAANXI_DA,iTransformer,SHAANXI_DA__iTransformer,7,110.8279800415,111.0755157471,112.5065231323,1.4919517945,0.2595239282,29.1981334686,63.8036613464,72.6988067627,0.3582702875,2.1505727768,0.7622166872,1.6533780098,3.2471883297,1100,22,1500,31,True,219,41,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,SHAANXI_DA,iTransformer,SHAANXI_DA__iTransformer,17,111.2544708252,112.0230789185,112.5065231323,1.1128708561,0.2737251222,30.7958621979,62.487991333,72.6988067627,0.3828236759,2.1062264442,0.7607263327,1.5049213171,3.2115607262,1100,22,1500,31,True,219,41,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,SHAANXI_DA,iTransformer,SHAANXI_DA__iTransformer,37,112.1787948608,112.7467193604,112.5065231323,0.2912971287,0.0853380859,9.6010913849,70.2335891724,72.6988067627,0.1067166775,2.3673005104,0.763258636,0.6824243665,3.2382442951,450,9,850,18,True,219,41,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,SHAANXI_DA,LSTM,SHAANXI_DA__LSTM,7,108.8089370728,109.5977859497,109.4563598633,0.5914894222,0.1449095458,15.8612709045,69.5321273804,77.535118103,0.2306506634,2.5550746918,0.7362469435,0.7716214061,3.1027078629,550,11,950,20,True,219,41,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,SHAANXI_DA,LSTM,SHAANXI_DA__LSTM,17,109.3554992676,114.2635498047,109.4563598633,0.0921468573,0.0212514866,2.326110363,76.8131637573,77.535118103,0.0296204537,2.8226284981,0.7554572821,1.2345256805,3.6153969765,200,4,800,17,False,219,41,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,SHAANXI_DA,LSTM,SHAANXI_DA__LSTM,37,109.3413772583,112.4129638672,109.4563598633,0.1050488113,0.022105284,2.4195640087,76.8066711426,77.535118103,0.0311074685,2.8223898411,0.755156517,1.2341864109,3.6178278923,200,4,800,17,False,219,41,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,QINGHAI_DA,PatchTST,QINGHAI_DA__PatchTST,7,135.9824066162,136.4567260742,143.2564239502,5.0776203492,0.1781954318,25.5276412964,46.8964157104,59.920375824,0.4775032997,2.2843530178,0.7291640639,1.5607719421,2.4065327644,850,17,1250,26,True,67,14,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,QINGHAI_DA,PatchTST,QINGHAI_DA__PatchTST,17,134.8528137207,133.4663391113,143.2564239502,5.8661315128,0.2527508736,36.2081871033,34.7441368103,59.920375824,0.6423880458,1.6924078465,0.51345402,3.0698461533,2.5292663574,2000,40,,41,True,67,14,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,QINGHAI_DA,PatchTST,QINGHAI_DA__PatchTST,37,135.6168823242,134.9560699463,143.2564239502,5.3327742068,0.2421266884,34.6862030029,45.661895752,59.920375824,0.4931638241,2.2242188454,0.7165917158,1.8622933626,2.6212003231,900,18,1300,27,True,67,14,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
