group,variant,cell,seed,weights,n_val_rows,mean_abs_r_true,mean_abs_b_true,mean_abs_B_true,mean_abs_correction,correction_ratio_from_npz,mean_abs_b_hat,mean_abs_B_hat,bias_b_hat,corr_b_hat_true,corr_B_hat_true,level_share_of_l1,shape_entropy_plus,shape_entropy_minus,shape_w1_plus,shape_w1_minus,overlap_gap_median,overlap_gap_max
critical,GEOM_COUPLED,SHANDONG_DA__TimeMixer,17,selected_ema,166,78.9922332764,39.6457901001,472.1573181152,20.018951416,0.2534293532,3.6114583015,552.6881713867,24.0910148621,0.1799708295,0.0323553114,0.0457191579,2.9517020986,3.0854778764,4.8822541237,3.8050279617,683.4020080566,1177.0184326172
critical,GEOM_COUPLED,SHANDONG_DA__TimeMixer,37,selected_ema,166,78.9922332764,39.6457901001,472.1573181152,22.2837142944,0.2821000814,2.63209939,779.9838867188,20.7832546234,0.1348032172,0.1888168673,0.0333209932,2.9727675442,3.1190380689,4.942794323,3.7287008762,1073.7392578125,1894.6889648438
critical,GEOM_COUPLED,SHANDONG_DA__iTransformer,7,selected_ema,166,75.0702896118,32.6177330017,509.4305725098,14.6407432556,0.1950271279,6.6294741631,619.2256469727,8.4456205368,-0.0741507562,0.2325820521,0.0883102342,3.1396789788,3.1127366331,4.770216465,3.886054039,1041.3138427734,2003.2945556641
critical,GEOM_COUPLED,SHANDONG_DA__iTransformer,17,selected_ema,166,75.0702896118,32.6177330017,509.4305725098,16.4053516388,0.2185332179,9.0280094147,743.0219116211,10.880739212,-0.0924550797,0.2520082736,0.1202607527,3.1389573653,3.1206251553,4.786989212,3.9762749672,1408.6397705078,1910.1221923828
critical,GEOM_COUPLED,SHANDONG_DA__iTransformer,37,selected_ema,166,75.0702896118,32.6177330017,509.4305725098,16.1150608063,0.2146662921,7.3406171799,736.0248413086,9.1314096451,-0.0804646616,0.2673104581,0.0977832675,3.1413669553,3.1277248366,4.8026442528,3.9566271305,1327.3631591797,2054.029296875
critical,GEOM_COUPLED,SHAANXI_DA__TimeMixer,7,selected_ema,41,103.5921630859,49.7010498047,646.6934204102,2.093777895,0.0202117395,2.093777895,36.3221549988,-17.653011322,0.0248506559,-0.1338080308,0.0202117395,3.1762899357,3.1749553813,5.0359854698,4.3047785759,72.7937011719,77.6614379883
critical,GEOM_COUPLED,SHAANXI_DA__TimeMixer,17,selected_ema,41,103.5921630859,49.7010498047,646.6934204102,2.2326376438,0.0215521865,2.2326376438,38.1875190735,-17.7918701172,-0.0451265542,-0.1310439747,0.0215521846,3.174368964,3.1722003253,5.0503225327,4.2970314026,76.491394043,79.5854797363
critical,GEOM_COUPLED,SHAANXI_DA__TimeMixer,37,selected_ema,41,103.5921630859,49.7010498047,646.6934204102,3.3004448414,0.0318599865,3.3004448414,68.4126358032,-18.8596782684,-0.2104255643,-0.1277849743,0.031859979,3.1734982187,3.1654033901,5.0453634262,4.314848423,137.0727233887,141.5689239502
critical,GEOM_COUPLED,SHAANXI_DA__iTransformer,7,selected_ema,41,112.5065155029,52.8861274719,715.4447631836,29.198135376,0.259523958,12.8953533173,958.7517089844,-37.409362793,0.1023251412,0.1332853562,0.1146187037,3.0503458605,3.1110354488,4.5503191948,4.7391614914,1598.7570800781,1986.7435302734
critical,GEOM_COUPLED,SHAANXI_DA__iTransformer,17,selected_ema,41,112.5065155029,52.8861274719,715.4447631836,30.7958621979,0.273725152,13.1393651962,926.1774902344,-37.6533737183,-0.0175210308,-0.0298983943,0.1167875975,2.9298566011,3.0920508072,4.9565596581,4.6385207176,1340.6528320312,2331.27734375
critical,GEOM_COUPLED,SHAANXI_DA__iTransformer,37,selected_ema,41,112.5065155029,52.8861274719,715.4447631836,9.6010923386,0.0853381008,5.3465662003,263.450958252,-29.8605766296,0.1295030818,0.1594769857,0.0475222804,3.0977212206,3.0729111712,4.5056800842,4.7225689888,442.2576293945,520.216796875
critical,GEOM_COUPLED,SHAANXI_DA__LSTM,7,selected_ema,41,109.4563751221,53.3038711548,673.830078125,15.8612709045,0.144909516,10.0182800293,433.1411132812,-25.5899734497,0.088421685,0.1039521847,0.0915275961,3.0552808767,3.0618684573,4.900996685,4.2267422676,749.8389892578,887.6358642578
critical,GEOM_COUPLED,SHAANXI_DA__LSTM,17,selected_ema,41,109.4563751221,53.3038711548,673.830078125,2.326110363,0.0212514829,2.326110363,40.2099838257,-17.8978023529,0.1804147572,0.1463898479,0.0212514848,3.1611683392,3.154320693,4.9479598999,4.1429247856,80.6655960083,83.3037414551
critical,GEOM_COUPLED,SHAANXI_DA__LSTM,37,selected_ema,41,109.4563751221,53.3038711548,673.830078125,2.4195640087,0.0221052822,2.4195640087,40.0036735535,-17.9912567139,-0.0261352266,0.0266120719,0.0221052859,3.1642374091,3.1598570889,4.9263362885,4.1801724434,81.0077056885,84.1702194214
critical,GEOM_COUPLED,QINGHAI_DA__PatchTST,7,selected_ema,14,143.2564239502,84.3695220947,706.6427612305,25.5276432037,0.1781954467,3.6280682087,528.1680297852,-54.3593826294,-0.3286616622,0.3052841277,0.0253256876,2.9329152149,2.9339517957,4.7766089439,5.4408521652,586.6664733887,750.5850830078
critical,GEOM_COUPLED,QINGHAI_DA__PatchTST,17,selected_ema,14,143.2564239502,84.3695220947,706.6427612305,36.2081871033,0.2527508736,13.5759439468,823.5702514648,-51.2373771667,-0.0601431371,-0.0978003728,0.094766736,3.0254674211,2.916285942,4.873980999,5.9542841911,1093.510559082,1725.5067138672
critical,GEOM_COUPLED,QINGHAI_DA__PatchTST,37,selected_ema,14,143.2564239502,84.3695220947,706.6427612305,34.6861991882,0.2421266586,4.2504563332,688.0190429688,-52.9010314941,-0.600172797,0.3260975768,0.0296702646,2.8091445626,2.8141842285,5.4976248741,5.7329344749,680.875213623,1164.0084228516
