dataset,backbone,method,n,mae,rmse,rmae,neg_n,mae_on_neg,neg_miss_rate,spike_thr,spike_n,mae_on_spike,spike_miss_rate,normal_n,mae_on_normal,touch_rate,status,seed,neg_thr,spike_thr_source,n_full,n_valid,n_S1,n_S2,n_S3,n_S4,s1_range,s2_range,s3_range,s4_range,duration_s
LAGO_BE,Transformer,SpikeRegularization,10446,7.526795113858719,15.838938994561408,0.8551672916985876,2,18.230346709486003,1.0,89.88789999999995,167,70.8977621214352,0.9640718562874252,10277,6.494941596931938,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",45.0
LAGO_BE,Transformer,CRC,10446,6.925072236005253,15.10381745701546,0.7868017103292251,2,16.907337258777133,1.0,89.88789999999995,167,66.97661154743854,0.9221556886227545,10277,5.947299384486824,0.9141298104537622,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",45.0
LAGO_BE,Transformer,DeltaAdapter,10446,6.880968937760857,14.942838837681101,0.7817908527804137,2,11.752305908981974,1.0,89.88789999999995,167,63.11406999084155,0.9101796407185628,10277,5.966239877742669,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",45.0
LAGO_BE,Transformer,HCH,10446,6.940042988047297,14.969119218168192,0.7885026331369834,2,11.504348678588867,1.0,89.88789999999995,167,63.06387510836481,0.9041916167664671,10277,6.027149286045341,0.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",45.0
LAGO_BE,GBDT,Identity,10446,8.50167494478965,18.28142558311693,0.965929619108531,2,33.57261012208192,1.0,89.88789999999995,167,67.81571767261883,0.9341317365269461,10277,7.532949927187038,0.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",6.4
LAGO_BE,GBDT,QuantileCorrection,10446,7.683479671178342,18.343571877291442,0.8729692255239554,2,27.049381714233636,1.0,89.88789999999995,167,77.88931748232298,1.0,10277,6.538874560878909,0.9891824621864829,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",6.4
LAGO_BE,GBDT,VahediStyle,10446,8.50167494478965,18.28142558311693,0.965929619108531,2,33.57261012208192,1.0,89.88789999999995,167,67.81571767261883,0.9341317365269461,10277,7.532949927187038,0.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",6.4
LAGO_BE,GBDT,SpikeRegularization,10446,7.142919205285623,16.910987113387787,0.8115526966263309,2,24.710726112155044,1.0,89.88789999999995,167,80.78540687047023,1.0,10277,5.9428188789355625,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",6.4
LAGO_BE,GBDT,CRC,10446,7.639031290829748,16.77918507325324,0.8679191609920927,2,25.04605777810413,1.0,89.88789999999995,167,67.09409067082711,0.9101796407185628,10277,6.6695062378537715,0.9040781160252729,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",6.4
LAGO_BE,GBDT,DeltaAdapter,10446,8.363859919295379,18.211382743698145,0.9502715733766488,2,33.57261012208192,1.0,89.88789999999995,167,68.38266657659355,0.9401197604790419,10277,7.383655753471271,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",6.4
LAGO_BE,GBDT,HCH,10446,8.50167494478965,18.28142558311693,0.965929619108531,2,33.57261012208192,1.0,89.88789999999995,167,67.81571767261883,0.9341317365269461,10277,7.532949927187038,0.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",6.4
LAGO_FR,Linear,Identity,10446,5.79236040285587,14.674435977067278,0.7482717449303329,2,7.02713953838275,1.0,91.40711999999999,113,59.13647852184506,0.8141592920353983,10331,5.2086458635356845,0.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",5.0
LAGO_FR,Linear,QuantileCorrection,10446,5.100829603935116,14.45435912270813,0.6589380499264146,2,8.273181703910264,1.0,91.40711999999999,113,61.62736471042807,0.8141592920353983,10331,4.481930836029429,0.9984683132299444,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",5.0
LAGO_FR,Linear,VahediStyle,10446,5.79236040285587,14.674435977067278,0.7482717449303329,2,7.02713953838275,1.0,91.40711999999999,113,59.13647852184506,0.8141592920353983,10331,5.2086458635356845,0.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",5.0
