cell,method,status,selected,n_hours,mae,smape_nofloor,rmse,rmae,neg_price_rate,neg_price_mae,high_tail_rate,high_tail_mae,host_mae,host_rmae,degradation,degradation_frac,delta_crps,a1_net,a2_net,note
LAGO_FR:Linear,B0_Identity,OK,,10488,5.938558,17.3327,14.73719,0.159798,0.0002,7.496734,0.0501,20.38252,5.938558,0.159798,0.0,0.0,,,,
LAGO_FR:Linear,B1_ResidualL1,OK,,10488,6.392079,19.010847,15.26217,0.172001,0.0002,5.107081,0.0501,25.1449,5.938558,0.159798,0.453521,0.076369,,,,
LAGO_FR:Linear,B2_QuantileResidual,OK,,10488,6.392079,19.010847,15.26217,0.172001,0.0002,5.107081,0.0501,25.1449,5.938558,0.159798,0.453521,0.076369,,,,
LAGO_FR:Linear,B3_DeltaAdapter,OK,,10488,5.966708,17.310608,15.047687,0.160555,0.0002,7.608856,0.0501,21.888742,5.938558,0.159798,0.02815,0.00474,,,,
LAGO_FR:Linear,B4_PIR,OK,,10488,5.788214,17.040581,14.997832,0.155752,0.0002,7.246093,0.0501,21.72497,5.938558,0.159798,-0.150344,-0.025317,,,,
LAGO_FR:Linear,B5_HCH-Universal,OK,C0,10488,5.989117,17.633787,14.765307,0.161158,0.0002,7.496734,0.0501,20.382521,5.938558,0.159798,0.050559,0.008514,-0.028364,-0.0014424673731233714,-0.0014424673731233714,
LAGO_FR:Linear,B6_HCH-Local,OK,C3,10488,5.932657,17.179652,14.736464,0.159639,0.0002,6.198615,0.0501,20.382521,5.938558,0.159798,-0.005901,-0.000994,-0.028163,0.00010765174052689283,0.0006392946174120472,
LAGO_FR:MLP,B0_Identity,OK,,10488,7.467196,19.924073,16.939966,0.200931,0.0002,6.470741,0.0501,25.014249,7.467196,0.200931,0.0,0.0,,,,
LAGO_FR:MLP,B1_ResidualL1,OK,,10488,7.397531,20.15754,17.262735,0.199056,0.0002,5.614003,0.0501,28.69725,7.467196,0.200931,-0.069665,-0.009329,,,,
LAGO_FR:MLP,B2_QuantileResidual,OK,,10488,7.397254,20.157037,17.262436,0.199049,0.0002,5.614003,0.0501,28.690597,7.467196,0.200931,-0.069942,-0.009367,,,,
LAGO_FR:MLP,B3_DeltaAdapter,OK,,10488,7.267399,19.815338,16.981601,0.195555,0.0002,7.307632,0.0501,27.721651,7.467196,0.200931,-0.199796,-0.026757,,,,
LAGO_FR:MLP,B4_PIR,OK,,10488,7.186603,19.419288,16.88663,0.193381,0.0002,7.645118,0.0501,25.902358,7.467196,0.200931,-0.280593,-0.037577,,,,
LAGO_FR:MLP,B5_HCH-Universal,OK,C3,10488,7.438277,19.755051,17.059631,0.200153,0.0002,6.470741,0.0501,25.08325,7.467196,0.200931,-0.028919,-0.003873,-0.021428,0.008795524844758967,0.0008411325666220978,
LAGO_FR:MLP,B6_HCH-Local,OK,C0,10488,7.467196,19.924072,16.939967,0.200931,0.0002,6.470741,0.0501,25.01425,7.467196,0.200931,0.0,0.0,-0.020301,0.0,0.0,
LAGO_FR:LSTM,B0_Identity,OK,,10488,5.566285,15.420832,14.826779,0.14978,0.0002,8.679279,0.0501,19.192871,5.566285,0.14978,0.0,0.0,,,,
LAGO_FR:LSTM,B1_ResidualL1,OK,,10488,5.940605,16.728977,15.486061,0.159853,0.0002,5.23079,0.0501,26.375064,5.566285,0.14978,0.374319,0.067248,,,,
LAGO_FR:LSTM,B2_QuantileResidual,OK,,10488,5.940605,16.728977,15.486061,0.159853,0.0002,5.23079,0.0501,26.375064,5.566285,0.14978,0.374319,0.067248,,,,
LAGO_FR:LSTM,B3_DeltaAdapter,OK,,10488,5.587367,15.631638,15.16745,0.150348,0.0002,8.455395,0.0501,22.806696,5.566285,0.14978,0.021082,0.003787,,,,
LAGO_FR:LSTM,B4_PIR,OK,,10488,5.319075,14.761999,15.212031,0.143128,0.0002,7.898516,0.0501,22.690703,5.566285,0.14978,-0.24721,-0.044412,,,,
LAGO_FR:LSTM,B5_HCH-Universal,OK,C3,10488,5.566285,15.420832,14.826779,0.14978,0.0002,8.679279,0.0501,19.192871,5.566285,0.14978,0.0,0.0,-0.014002,0.00010666475626027324,0.0,
LAGO_FR:LSTM,B6_HCH-Local,OK,C0,10488,5.566285,15.420832,14.826779,0.14978,0.0002,8.679279,0.0501,19.192871,5.566285,0.14978,0.0,0.0,-0.015241,0.0,0.0,
LAGO_FR:PatchTST,B0_Identity,OK,,10488,6.186356,18.398788,15.202818,0.166466,0.0002,5.452707,0.0501,21.34336,6.186356,0.166466,0.0,0.0,,,,
