variant,mae_base,mae_bech,mae_gain_pct,tail_base,tail_bech,tail_gain_pct,neg_miss_base,neg_miss_bech,mae_neg_base,mae_neg_bech,mae_normal_base,mae_normal_bech,tau_neg,tau_pos,lam_neg,lam_pos,fire_rate,n_fired,harm_rate,worst_harm,dm_p,dataset,backbone,tier,family
A1 +L1 magnitude,6.664246267347285,6.544406030033656,1.7982564345019585,35.76571648679787,33.285684290672,6.934104611161134,0.23711340206185566,0.23711340206185566,26.562905878079345,24.82865085726552,6.0213274427909935,5.9302785423592965,0.1,1.01,0.8,0.0,0.022305188588933562,233,0.296137339055794,21.768472467397935,0.001242053138330368,LAGO_DE,GBDT,L1,ladder
A2 +Bayes gate,6.664246267347285,6.572024234058606,1.3838329135665044,35.76571648679787,34.03208981416123,4.847174453436629,0.23711340206185566,0.23711340206185566,26.562905878079345,25.06452789734185,6.0213274427909935,5.954422128341971,0.5,0.5,0.85,0.0,0.014168102623013594,148,0.2702702702702703,23.129001996610306,0.005730558864545654,LAGO_DE,GBDT,L1,ladder
A3 +two-tier cert,6.664246267347285,6.55909717806704,1.577809178442923,35.76571648679787,33.92622639863158,5.143165771180065,0.23711340206185566,0.23711340206185566,26.562905878079345,24.966362610240516,6.0213274427909935,5.942885231466076,0.5,0.5,1.0,0.0,0.014168102623013594,148,0.2702702702702703,27.21059058424742,0.00721794161668865,LAGO_DE,GBDT,L1,ladder
A4 +S2b reuse (=v1),6.664246267347285,6.55909717806704,1.577809178442923,35.76571648679787,33.92622639863158,5.143165771180065,0.23711340206185566,0.23711340206185566,26.562905878079345,24.966362610240516,6.0213274427909935,5.942885231466076,0.5,0.5,1.0,0.0,0.014168102623013594,148,0.2702702702702703,27.21059058424742,0.00721794161668865,LAGO_DE,GBDT,L1,ladder
rho=0.00,6.664246267347285,6.664246267347285,0.0,35.76571648679787,35.76571648679787,0.0,0.23711340206185566,0.23711340206185566,26.562905878079345,26.562905878079345,6.0213274427909935,6.0213274427909935,0.5,0.5,0.0,0.0,0.0,0,,,,LAGO_DE,GBDT,L1,rho
rho=0.10,6.664246267347285,6.585481809254683,1.1818959704193828,35.76571648679787,34.194449943786985,4.39321981314392,0.23711340206185566,0.23711340206185566,26.562905878079345,25.190334851360518,6.0213274427909935,5.965976860927867,0.5,0.5,0.7,0.0,0.014168102623013594,148,0.2702702702702703,19.047413408973192,0.004332580708194644,LAGO_DE,GBDT,L1,rho
rho=0.25,6.664246267347285,6.55909717806704,1.577809178442923,35.76571648679787,33.92622639863158,5.143165771180065,0.23711340206185566,0.23711340206185566,26.562905878079345,24.966362610240516,6.0213274427909935,5.942885231466076,0.5,0.5,1.0,0.0,0.014168102623013594,148,0.2702702702702703,27.21059058424742,0.00721794161668865,LAGO_DE,GBDT,L1,rho
rho=0.50,6.664246267347285,6.55909717806704,1.577809178442923,35.76571648679787,33.92622639863158,5.143165771180065,0.23711340206185566,0.23711340206185566,26.562905878079345,24.966362610240516,6.0213274427909935,5.942885231466076,0.5,0.5,1.0,0.0,0.014168102623013594,148,0.2702702702702703,27.21059058424742,0.00721794161668865,LAGO_DE,GBDT,L1,rho
rho=1.00,6.664246267347285,6.55909717806704,1.577809178442923,35.76571648679787,33.92622639863158,5.143165771180065,0.23711340206185566,0.23711340206185566,26.562905878079345,24.966362610240516,6.0213274427909935,5.942885231466076,0.5,0.5,1.0,0.0,0.014168102623013594,148,0.2702702702702703,27.21059058424742,0.00721794161668865,LAGO_DE,GBDT,L1,rho
alpha=0.05,6.664246267347285,6.55909717806704,1.577809178442923,35.76571648679787,33.92622639863158,5.143165771180065,0.23711340206185566,0.23711340206185566,26.562905878079345,24.966362610240516,6.0213274427909935,5.942885231466076,0.5,0.5,1.0,0.0,0.014168102623013594,148,0.2702702702702703,27.21059058424742,0.00721794161668865,LAGO_DE,GBDT,L1,alpha
