Timestamp,SE1,SE2,SE3,SE4
2018-01-17 08:00:00,44.95,44.95,44.95,44.95
2018-01-17 09:00:00,42.49,42.49,42.49,42.49
2018-01-17 10:00:00,39.88,39.88,39.88,39.88
2018-01-17 11:00:00,38.99,38.99,38.99,38.99
2018-01-17 12:00:00,34.75,34.75,34.75,34.75
2018-01-17 13:00:00,32.54,32.54,32.54,32.54
2018-01-17 14:00:00,32.38,32.38,32.38,32.38
2018-01-17 15:00:00,33.11,33.11,33.11,33.11
2018-01-17 16:00:00,38.04,38.04,38.04,38.04
2018-01-17 17:00:00,38.9,38.9,38.9,38.9
2018-01-17 18:00:00,38.44,38.44,38.44,38.44
2018-01-17 19:00:00,34.26,34.26,34.26,34.26
2018-01-17 20:00:00,31.2,31.2,31.2,31.2
2018-01-17 21:00:00,30.57,30.57,30.57,30.57
2018-01-17 22:00:00,29.92,29.92,29.92,29.92
2018-01-17 23:00:00,29.33,29.33,29.33,29.33
2018-01-18 00:00:00,29.12,29.12,29.12,29.12
2018-01-18 01:00:00,28.6,28.6,28.6,28.6
2018-01-18 02:00:00,28.46,28.46,28.46,28.46
2018-01-18 03:00:00,28.34,28.34,28.34,28.34
2018-01-18 04:00:00,28.75,28.75,28.75,28.75
2018-01-18 05:00:00,29.92,29.92,29.92,29.92
2018-01-18 06:00:00,31.2,31.2,31.2,31.2
2018-01-18 07:00:00,42.93,42.93,42.93,42.93
2018-01-18 08:00:00,42.15,42.15,42.15,42.15
2018-01-18 09:00:00,42.0,42.0,42.0,42.0
2018-01-18 10:00:00,40.91,40.91,40.91,40.91
2018-01-18 11:00:00,39.34,39.34,39.34,39.34
2018-01-18 12:00:00,37.41,37.41,37.41,37.41
2018-01-18 13:00:00,35.82,35.82,35.82,35.82
2018-01-18 14:00:00,34.85,34.85,34.85,34.85
2018-01-18 15:00:00,36.73,36.73,36.73,36.73
2018-01-18 16:00:00,39.36,39.36,39.36,39.36
2018-01-18 17:00:00,42.15,42.15,42.15,42.15
2018-01-18 18:00:00,42.04,42.04,42.04,42.04
2018-01-18 19:00:00,41.49,41.49,41.49,41.49
2018-01-18 20:00:00,38.93,38.93,38.93,38.93
2018-01-18 21:00:00,34.3,34.3,34.3,34.3
2018-01-18 22:00:00,32.57,32.57,32.57,32.57
2018-01-18 23:00:00,30.45,30.45,30.45,30.45
2018-01-19 00:00:00,30.0,30.0,30.0,30.0
2018-01-19 01:00:00,29.97,29.97,29.97,29.97
2018-01-19 02:00:00,29.49,29.49,29.49,29.49
2018-01-19 03:00:00,29.56,29.56,29.56,29.56
2018-01-19 04:00:00,30.02,30.02,30.02,30.02
2018-01-19 05:00:00,31.76,31.76,31.76,31.76
2018-01-19 06:00:00,39.13,39.13,39.13,39.13
2018-01-19 07:00:00,49.85,49.85,49.85,49.85
2018-01-19 08:00:00,51.94,51.94,51.94,51.94
2018-01-19 09:00:00,50.36,50.36,50.36,50.36
2018-01-19 10:00:00,49.58,49.58,49.58,49.58
2018-01-19 11:00:00,46.88,46.88,46.88,46.88
2018-01-19 12:00:00,42.99,42.99,42.99,42.99
2018-01-19 13:00:00,41.67,41.67,41.67,41.67
2018-01-19 14:00:00,39.49,39.49,39.49,39.49
2018-01-19 15:00:00,41.78,41.78,41.78,41.78
2018-01-19 16:00:00,44.3,44.3,44.3,44.3
2018-01-19 17:00:00,48.81,48.81,49.57,49.57
2018-01-19 18:00:00,48.08,48.08,49.74,49.74
2018-01-19 19:00:00,41.19,41.19,44.79,44.79
2018-01-19 20:00:00,38.83,38.83,38.83,38.83
2018-01-19 21:00:00,36.94,36.94,36.94,36.94
2018-01-19 22:00:00,35.84,35.84,35.84,35.84
2018-01-19 23:00:00,32.61,32.61,32.61,32.61
2018-01-20 00:00:00,30.83,30.83,30.83,30.83
2018-01-20 01:00:00,29.72,29.72,29.72,29.72
2018-01-20 02:00:00,29.3,29.3,29.3,29.3
2018-01-20 03:00:00,29.01,29.01,29.01,29.01
2018-01-20 04:00:00,28.98,28.98,28.98,28.98
2018-01-20 05:00:00,29.23,29.23,29.23,29.23
2018-01-20 06:00:00,29.68,29.68,29.68,29.68
2018-01-20 07:00:00,30.85,30.85,30.85,30.85
2018-01-20 08:00:00,33.07,33.07,33.07,33.07
2018-01-20 09:00:00,37.09,37.09,37.09,37.09
2018-01-20 10:00:00,37.95,37.95,37.95,37.95
2018-01-20 11:00:00,40.68,40.68,40.68,40.68
2018-01-20 12:00:00,37.07,37.07,37.07,37.07
2018-01-20 13:00:00,34.01,34.01,34.01,34.01
2018-01-20 14:00:00,33.96,33.96,33.96,33.96
2018-01-20 15:00:00,38.24,38.24,38.24,38.24
2018-01-20 16:00:00,40.8,40.8,40.8,40.8
2018-01-20 17:00:00,40.49,40.49,44.68,44.68
2018-01-20 18:00:00,38.05,38.05,48.2,48.2
2018-01-20 19:00:00,36.97,36.97,36.97,36.97
2018-01-20 20:00:00,32.16,32.16,32.16,32.16
2018-01-20 21:00:00,32.65,32.65,32.65,32.65
2018-01-20 22:00:00,32.34,32.34,32.34,32.34
