Timestamp,North Macedonia
2024-01-21 08:00:00,64.76
2024-01-21 09:00:00,70.21
2024-01-21 10:00:00,71.07
2024-01-21 11:00:00,73.0
2024-01-21 12:00:00,71.43
2024-01-21 13:00:00,67.15
2024-01-21 14:00:00,71.0
2024-01-21 15:00:00,75.43
2024-01-21 16:00:00,99.91
2024-01-21 17:00:00,102.69
2024-01-21 18:00:00,102.59
2024-01-21 19:00:00,99.21
2024-01-21 20:00:00,99.91
2024-01-21 21:00:00,87.54
2024-01-21 22:00:00,86.31
2024-01-21 23:00:00,71.0
2024-01-22 00:00:00,71.0
2024-01-22 01:00:00,49.53
2024-01-22 02:00:00,41.45
2024-01-22 03:00:00,40.53
2024-01-22 04:00:00,46.78
2024-01-22 05:00:00,74.0
2024-01-22 06:00:00,101.46
2024-01-22 07:00:00,121.39
2024-01-22 08:00:00,125.39
2024-01-22 09:00:00,112.21
2024-01-22 10:00:00,89.88
2024-01-22 11:00:00,83.44
2024-01-22 12:00:00,78.79
2024-01-22 13:00:00,85.1
2024-01-22 14:00:00,98.61
2024-01-22 15:00:00,109.91
2024-01-22 16:00:00,125.22
2024-01-22 17:00:00,140.95
2024-01-22 18:00:00,139.03
2024-01-22 19:00:00,125.97
2024-01-22 20:00:00,123.07
2024-01-22 21:00:00,101.19
2024-01-22 22:00:00,97.45
2024-01-22 23:00:00,92.04
2024-01-23 00:00:00,90.67
2024-01-23 01:00:00,82.35
2024-01-23 02:00:00,79.53
2024-01-23 03:00:00,77.37
2024-01-23 04:00:00,82.92
2024-01-23 05:00:00,95.0
2024-01-23 06:00:00,105.35
2024-01-23 07:00:00,125.61
2024-01-23 08:00:00,130.0
2024-01-23 09:00:00,123.38
2024-01-23 10:00:00,95.07
2024-01-23 11:00:00,87.29
2024-01-23 12:00:00,83.14
2024-01-23 13:00:00,91.01
2024-01-23 14:00:00,102.68
2024-01-23 15:00:00,120.0
2024-01-23 16:00:00,130.0
2024-01-23 17:00:00,148.38
2024-01-23 18:00:00,135.18
2024-01-23 19:00:00,124.97
2024-01-23 20:00:00,110.0
2024-01-23 21:00:00,105.0
2024-01-23 22:00:00,105.0
2024-01-23 23:00:00,101.09
2024-01-24 00:00:00,81.58
2024-01-24 01:00:00,72.85
2024-01-24 02:00:00,68.93
2024-01-24 03:00:00,66.56
2024-01-24 04:00:00,71.03
2024-01-24 05:00:00,89.29
2024-01-24 06:00:00,109.99
2024-01-24 07:00:00,123.0
2024-01-24 08:00:00,128.07
2024-01-24 09:00:00,109.65
2024-01-24 10:00:00,91.78
2024-01-24 11:00:00,88.79
2024-01-24 12:00:00,80.95
2024-01-24 13:00:00,85.62
2024-01-24 14:00:00,93.91
2024-01-24 15:00:00,109.99
2024-01-24 16:00:00,126.58
2024-01-24 17:00:00,142.64
2024-01-24 18:00:00,134.46
2024-01-24 19:00:00,123.22
2024-01-24 20:00:00,116.21
2024-01-24 21:00:00,102.78
2024-01-24 22:00:00,103.34
2024-01-24 23:00:00,99.11
2024-01-25 00:00:00,85.8
2024-01-25 01:00:00,79.12
2024-01-25 02:00:00,74.98
2024-01-25 03:00:00,73.15
2024-01-25 04:00:00,73.33
2024-01-25 05:00:00,87.15
2024-01-25 06:00:00,107.52
2024-01-25 07:00:00,125.28
2024-01-25 08:00:00,124.61
2024-01-25 09:00:00,105.06
2024-01-25 10:00:00,93.28
2024-01-25 11:00:00,91.16
2024-01-25 12:00:00,85.33
2024-01-25 13:00:00,88.04
2024-01-25 14:00:00,95.7
2024-01-25 15:00:00,101.46
2024-01-25 16:00:00,112.93
2024-01-25 17:00:00,127.37
2024-01-25 18:00:00,125.03
2024-01-25 19:00:00,119.04
2024-01-25 20:00:00,105.69
2024-01-25 21:00:00,95.65
2024-01-25 22:00:00,101.03
2024-01-25 23:00:00,90.17
2024-01-26 00:00:00,84.96
2024-01-26 01:00:00,81.6
2024-01-26 02:00:00,77.82
2024-01-26 03:00:00,75.49
2024-01-26 04:00:00,78.29
2024-01-26 05:00:00,95.0
2024-01-26 06:00:00,115.0
2024-01-26 07:00:00,123.71
2024-01-26 08:00:00,120.72
2024-01-26 09:00:00,97.0
2024-01-26 10:00:00,87.79
2024-01-26 11:00:00,79.28
2024-01-26 12:00:00,72.52
2024-01-26 13:00:00,81.81
2024-01-26 14:00:00,82.81
2024-01-26 15:00:00,99.44
2024-01-26 16:00:00,115.0
2024-01-26 17:00:00,136.39
2024-01-26 18:00:00,131.79
2024-01-26 19:00:00,124.93
2024-01-26 20:00:00,115.0
2024-01-26 21:00:00,101.76
2024-01-26 22:00:00,100.7
2024-01-26 23:00:00,96.98
2024-01-27 00:00:00,100.0
2024-01-27 01:00:00,93.35
2024-01-27 02:00:00,76.82
2024-01-27 03:00:00,71.53
2024-01-27 04:00:00,70.0
2024-01-27 05:00:00,79.24
2024-01-27 06:00:00,89.05
2024-01-27 07:00:00,97.77
2024-01-27 08:00:00,99.0
2024-01-27 09:00:00,84.29
2024-01-27 10:00:00,84.0
2024-01-27 11:00:00,76.03
2024-01-27 12:00:00,70.0
2024-01-27 13:00:00,77.19
2024-01-27 14:00:00,78.81
2024-01-27 15:00:00,90.05
2024-01-27 16:00:00,102.0
2024-01-27 17:00:00,110.09
2024-01-27 18:00:00,115.1
2024-01-27 19:00:00,108.37
2024-01-27 20:00:00,103.22
2024-01-27 21:00:00,94.97
2024-01-27 22:00:00,94.53
2024-01-27 23:00:00,87.53
2024-01-28 00:00:00,80.0
2024-01-28 01:00:00,73.5
2024-01-28 02:00:00,68.75
2024-01-28 03:00:00,67.72
2024-01-28 04:00:00,63.34
2024-01-28 05:00:00,65.54
2024-01-28 06:00:00,67.08
2024-01-28 07:00:00,70.0
2024-01-28 08:00:00,73.33
2024-01-28 09:00:00,71.72
2024-01-28 10:00:00,66.22
2024-01-28 11:00:00,61.42
2024-01-28 12:00:00,58.01
2024-01-28 13:00:00,55.3
2024-01-28 14:00:00,61.12
2024-01-28 15:00:00,74.94
2024-01-28 16:00:00,88.0
2024-01-28 17:00:00,100.82
2024-01-28 18:00:00,102.68
2024-01-28 19:00:00,102.67
2024-01-28 20:00:00,100.96
2024-01-28 21:00:00,87.53
2024-01-28 22:00:00,83.61
2024-01-28 23:00:00,71.95
2024-01-29 00:00:00,61.12
2024-01-29 01:00:00,56.0
2024-01-29 02:00:00,51.85
2024-01-29 03:00:00,51.23
2024-01-29 04:00:00,55.76
2024-01-29 05:00:00,76.43
2024-01-29 06:00:00,93.19
2024-01-29 07:00:00,102.16
2024-01-29 08:00:00,110.0
2024-01-29 09:00:00,87.77
2024-01-29 10:00:00,79.63
2024-01-29 11:00:00,75.25
2024-01-29 12:00:00,70.01
2024-01-29 13:00:00,76.52
2024-01-29 14:00:00,81.75
2024-01-29 15:00:00,89.32
2024-01-29 16:00:00,103.79
2024-01-29 17:00:00,115.3
2024-01-29 18:00:00,114.34
2024-01-29 19:00:00,103.36
2024-01-29 20:00:00,93.68
2024-01-29 21:00:00,86.95
2024-01-29 22:00:00,85.75
2024-01-29 23:00:00,79.0
2024-01-30 00:00:00,76.15
2024-01-30 01:00:00,66.46
2024-01-30 02:00:00,60.28
2024-01-30 03:00:00,58.0
2024-01-30 04:00:00,59.08
2024-01-30 05:00:00,71.38
2024-01-30 06:00:00,90.85
2024-01-30 07:00:00,104.95
2024-01-30 08:00:00,107.98
2024-01-30 09:00:00,89.12
2024-01-30 10:00:00,77.56
2024-01-30 11:00:00,71.1
2024-01-30 12:00:00,68.93
2024-01-30 13:00:00,70.18
2024-01-30 14:00:00,77.47
2024-01-30 15:00:00,88.0
2024-01-30 16:00:00,102.68
2024-01-30 17:00:00,115.87
2024-01-30 18:00:00,113.05
2024-01-30 19:00:00,108.89
2024-01-30 20:00:00,99.25
2024-01-30 21:00:00,85.41
2024-01-30 22:00:00,81.32
2024-01-30 23:00:00,69.95
2024-01-31 00:00:00,0.0
2024-01-31 01:00:00,0.0
2024-01-31 02:00:00,0.0
2024-01-31 03:00:00,0.0
2024-01-31 04:00:00,0.0
2024-01-31 05:00:00,0.0
2024-01-31 06:00:00,0.0
2024-01-31 07:00:00,0.0
2024-01-31 08:00:00,0.0
2024-01-31 09:00:00,0.0
2024-01-31 10:00:00,0.0
2024-01-31 11:00:00,0.0
2024-01-31 12:00:00,0.0
2024-01-31 13:00:00,0.0
2024-01-31 14:00:00,0.0
2024-01-31 15:00:00,0.0
2024-01-31 16:00:00,0.0
2024-01-31 17:00:00,0.0
2024-01-31 18:00:00,0.0
2024-01-31 19:00:00,0.0
2024-01-31 20:00:00,0.0
2024-01-31 21:00:00,0.0
2024-01-31 22:00:00,0.0
2024-01-31 23:00:00,0.0
2024-02-01 00:00:00,97.68
2024-02-01 01:00:00,90.0
2024-02-01 02:00:00,84.29
2024-02-01 03:00:00,77.82
2024-02-01 04:00:00,83.74
2024-02-01 05:00:00,91.56
2024-02-01 06:00:00,102.87
2024-02-01 07:00:00,114.73
2024-02-01 08:00:00,117.28
2024-02-01 09:00:00,97.76
2024-02-01 10:00:00,86.99
2024-02-01 11:00:00,80.34
2024-02-01 12:00:00,78.65
2024-02-01 13:00:00,83.01
2024-02-01 14:00:00,95.0
2024-02-01 15:00:00,102.67
2024-02-01 16:00:00,110.29
2024-02-01 17:00:00,130.0
2024-02-01 18:00:00,130.0
2024-02-01 19:00:00,130.0
2024-02-01 20:00:00,113.42
2024-02-01 21:00:00,102.68
2024-02-01 22:00:00,105.0
2024-02-01 23:00:00,100.0
2024-02-02 00:00:00,100.29
2024-02-02 01:00:00,84.29
2024-02-02 02:00:00,72.68
2024-02-02 03:00:00,69.48
2024-02-02 04:00:00,71.28
2024-02-02 05:00:00,86.44
2024-02-02 06:00:00,93.68
2024-02-02 07:00:00,103.47
2024-02-02 08:00:00,102.68
2024-02-02 09:00:00,97.77
2024-02-02 10:00:00,85.8
2024-02-02 11:00:00,78.44
2024-02-02 12:00:00,76.18
2024-02-02 13:00:00,77.82
2024-02-02 14:00:00,83.8
2024-02-02 15:00:00,86.8
