cell,market,host,config,seeds,n_seeds,n_failed_seeds,complete,switches,n_days,n_entries_evaluated,n_days_any_valid,overall_mae,host_mae,mae_gain_abs,mae_gain_pct,tail_mae,tail_mae_host,upper_tail_mae,lower_tail_mae,normal_mae,normal_mae_host,normal_relative_harm_pct,negative_price_mae,negative_price_mae_host,shape_w1_positive,shape_w1_negative,mass_positive_l1,mass_negative_l1,high_mass_positive_l1,high_mass_negative_l1,high_mass_positive_n_days,high_mass_negative_n_days,alpha,amplitude_scale,n_parameters,fit_seconds,inference_seconds,n_folds,final_epochs,branch_reconstruction_max_abs_err,alpha_consistency_max_abs_err
SHAANXI_DA::LSTM,SHAANXI_DA,LSTM,FULL,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":true}",20.0,480.0,20.0,92.42649431667324,110.72560619513193,18.29911187845869,16.526540253218513,164.92372136340956,186.85881925884047,375.99604488575403,116.15747754096589,78.78840209996048,96.40351660888975,-18.272273801373867,,,5.637297347932575,2.707808943673205,469.69775505065917,835.9799432754517,,2113.9750785827637,0.0,2.0,0.6677128265053813,1085.4013671875,47572.0,21.76,0.036415,5.0,16.0,1.282299601257364e-05,0.0
SHAANXI_DA::LSTM,SHAANXI_DA,LSTM,NO_RARE_MASS,7|17|37,3,0,True,"{""rare_mass_sampling"":false,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":true}",20.0,480.0,20.0,89.88717455117175,110.72560619513193,20.838431643960178,18.819884902898224,160.92773640044103,186.85881925884047,375.1428045662518,111.53316096360635,76.52310846071519,96.40351660888975,-20.622077749331087,,,5.634827651043777,2.6916913814821486,464.64471397399905,816.038547706604,,2073.6740531921387,0.0,2.0,0.7593782175591949,1085.4013671875,47572.0,21.484,0.042978,5.0,16.0,1.2671841119527016e-05,0.0
SHAANXI_DA::LSTM,SHAANXI_DA,LSTM,NO_SHAPE_CONTEXT,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":false,""untied_amplitude_heads"":true,""use_tcn"":true}",20.0,480.0,20.0,90.3310178143726,110.72560619513193,20.39458838075933,18.41903520023897,151.89257579365486,186.85881925884047,325.45165201613156,111.41094425545381,78.75013066975514,96.40351660888975,-18.311973006912822,,,4.514918674636402,2.2944705702947537,425.55250053405763,939.6876176834106,,2218.6249198913574,0.0,2.0,0.7955734330812706,1085.4013671875,47572.0,26.043,0.043266,5.0,28.0,1.2799110095329524e-05,0.0
SHAANXI_DA::LSTM,SHAANXI_DA,LSTM,NO_TCN,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":false}",20.0,480.0,20.0,88.61693851456548,110.72560619513193,22.108667680566455,19.96707757156399,158.2754578627104,186.85881925884047,407.23673764851617,105.1380718447748,75.5128606173897,96.40351660888975,-21.670014462494855,,,5.991779841534186,2.685644551026641,497.12887382507324,874.6174768447876,,1858.7220878601074,0.0,2.0,0.7490602362514973,1085.4013671875,24788.0,8.506,0.028768,5.0,11.0,1.577476939473854e-05,0.0
SHAANXI_DA::LSTM,SHAANXI_DA,LSTM,TIED_AMPLITUDE,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":false,""use_tcn"":true}",20.0,480.0,20.0,106.7664201462465,110.72560619513193,3.959186048885428,3.5756734010632982,183.7269988749033,186.85881925884047,355.1523438059451,145.01805001950677,92.28868751412296,96.40351660888975,-4.268339205363953,,,5.3096395927292495,2.926063448297268,556.1494709014893,1135.0265924453736,,2836.50785446167,0.0,2.0,0.24134171669155968,1085.4013671875,47539.0,16.806,0.054534,5.0,11.0,1.0252235597363324e-05,0.0
SHAANXI_DA::PatchTST,SHAANXI_DA,PatchTST,FROZEN_SMALLEST,7|17|37,3,0,True,"{""rare_mass_sampling"":false,""shape_semantic_context"":false,""untied_amplitude_heads"":false,""use_tcn"":false}",20.0,480.0,20.0,90.06993919100172,101.63885358969371,11.568914398691987,11.382373954545555,130.82183443556605,143.01088774831672,327.3575426385,83.89930360332939,83.5759939420137,93.85599567866561,-10.952951553406894,,,3.874394668018683,2.480972881832095,739.9364068984985,622.02685546875,,1096.7839469909668,0.0,2.0,1.4526755735933023,1026.2305908203125,24755.0,7.547,0.029185,5.0,19.0,1.1992934247473386e-05,0.0
SHAANXI_DA::PatchTST,SHAANXI_DA,PatchTST,FULL,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":true}",20.0,480.0,20.0,97.20346775912078,101.63885358969371,4.435385830572926,4.363868416381547,138.30604723970825,143.01088774831672,398.3964109620295,80.74209249805548,89.48729362722757,93.85599567866561,-4.654686170924171,,,5.097370851008835,3.7452479137044805,810.6743356704712,735.4020523071289,,1495.4339714050293,0.0,2.0,0.4472262527674773,1026.2305908203125,47572.0,18.462,0.0658,5.0,8.0,1.301701047395909e-05,0.0
SHAANXI_DA::PatchTST,SHAANXI_DA,PatchTST,NO_RARE_MASS,7|17|37,3,0,True,"{""rare_mass_sampling"":false,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":true}",20.0,480.0,20.0,99.85684073475937,101.63885358969371,1.7820128549343366,1.753279176217543,140.74456731172847,143.01088774831672,401.1769906559336,77.33366941583589,92.16509019057708,93.85599567866561,-1.8015955995796777,,,5.239229789913954,3.5128278436294686,800.9812143325805,746.1497360229492,,1520.0336723327637,0.0,2.0,0.38170402629469563,1026.2305908203125,47572.0,18.328,0.06095,5.0,10.0,1.4052909421025106e-05,0.0
SHAANXI_DA::PatchTST,SHAANXI_DA,PatchTST,NO_SHAPE_CONTEXT,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":false,""untied_amplitude_heads"":true,""use_tcn"":true}",20.0,480.0,20.0,99.99535734128611,101.63885358969371,1.643496248407601,1.6169960505873449,141.2788639059782,143.01088774831672,429.07392228948856,76.29288298066942,92.229153136047,93.85599567866561,-1.733338963435451,,,4.881002136649682,3.5831765224913803,822.0739664077759,789.9154434204102,,1629.4910697937012,0.0,2.0,0.7597519946443074,1026.2305908203125,47572.0,19.33,0.04799,5.0,7.0,2.5923225166479824e-06,0.0
SHAANXI_DA::PatchTST,SHAANXI_DA,PatchTST,NO_TCN,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":false}",20.0,480.0,20.0,97.3532367767727,101.63885358969371,4.285616812921006,4.216514316682112,140.5546681725339,143.01088774831672,417.79654606476004,77.95166348719249,89.1330634752691,93.85599567866561,-5.032104948911729,,,5.229866882780884,3.669109278889869,808.9232461929321,770.5034194946289,,1584.70658493042,0.0,2.0,0.6411918346232847,1026.2305908203125,24788.0,6.805,0.044373,5.0,7.0,6.27836635658241e-06,0.0
