market,host,method,seed,Overall_MAE,Tail_MAE,Normal_MAE,MSE,RMSE,relative_gain_vs_host_pct,Normal_harm_vs_host_pct,Tail_harm_vs_host_pct,parameter_count,training_seconds,inference_seconds,inference_seconds_per_day,fidelity,source,backbone_parameter_count
GANSU_DA,PatchTST,delta_Adapter_AdaY,7,71.57943773743786,105.60544094727508,67.99775318903394,8192.224196506451,90.51090650582644,0.6578325575144288,-1.200348138809204,2.794885635375977,289816.0,0.0689962000469677,0.0002982000005431,1.420000002586416e-05,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,official delta-Adapter Adapter-X+Y @ 0add06ea7b4d2e0a84c364a8be72eef2676a92f2 :: PostProcessingNet,
GANSU_DA,TimeMixer,S1_DailyPatch_GRU32,7,71.52687873925352,132.96684023076742,65.05951437172574,7885.206771276226,88.79868676549347,5.701992854087211,-3.255140781402588,-15.62179946899414,18712.0,11.643819300050382,0.0003140000044368,1.495238116365813e-05,FROZEN_METHOD_REPLAY,experiments/current/hch_frozen_method_baseline_transfer/panel.py::s1_row (frozen replay),
GANSU_DA,TimeMixer,MatchedDirectResidual,7,101.85729472763836,146.3390435103665,97.17500538208802,17991.14091576815,134.13105872902125,-34.28434282871975,44.501258850097656,-7.136053085327148,15000.0,0.3831608999753371,0.0002854000194929,1.3590477118712096e-05,FROZEN_INTERNAL_CONTROL,experiments/current/hch_unified_da_shape_upgrade/run_canary.py::fit_direct,
GANSU_DA,TimeMixer,delta_Adapter_AdaY,7,75.63251909407329,156.6516851773147,67.10418582215313,8811.551406802724,93.86986420999406,0.2892905197845275,-0.2146720886230468,-0.5918502807617188,1144.0,0.0436468999832868,9.809999028220771e-05,4.671428108676559e-06,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,official delta-Adapter Adapter-X+Y @ 0add06ea7b4d2e0a84c364a8be72eef2676a92f2 :: PostProcessingNet,
LAGO_DE,PatchTST,S1_DailyPatch_GRU32,17,4.195557335041293,6.581716850214815,3.8269978335802457,33.129463811469705,5.755819994707071,11.793601357046942,-11.93852424621582,-11.243730545043944,14872.0,17.599896900064778,0.0005936999805271,5.446788812175803e-06,FROZEN_METHOD_REPLAY,experiments/current/hch_frozen_method_baseline_transfer/panel.py::s1_row (frozen replay),
LAGO_DE,PatchTST,MatchedDirectResidual,17,5.614224144886506,7.801514365152083,5.276381436548927,58.25849528817572,7.632725285779367,-18.032111933914837,21.412647247314453,5.20557165145874,15000.0,0.6270859999931417,7.639999967068434e-05,7.009174281714159e-07,FROZEN_INTERNAL_CONTROL,experiments/current/hch_unified_da_shape_upgrade/run_canary.py::fit_direct,
LAGO_DE,PatchTST,delta_Adapter_AdaY,17,4.71687326912106,7.441113958860541,4.296094698331644,40.48653526574775,6.362903053304187,0.8335792602661389,-1.1443257331848145,0.345468521118164,289816.0,0.1613800000050105,0.001483800006099,1.361284409265179e-05,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,official delta-Adapter Adapter-X+Y @ 0add06ea7b4d2e0a84c364a8be72eef2676a92f2 :: PostProcessingNet,
LAGO_DE,TimeMixer,S1_DailyPatch_GRU32,17,4.3082407367489,6.558008405311133,3.960747937103365,35.0767234561306,5.922560548962805,8.463457788554477,-8.537912368774414,-8.171123504638672,14872.0,18.11394269997254,0.0013308999477885,1.2210091264115289e-05,FROZEN_METHOD_REPLAY,experiments/current/hch_frozen_method_baseline_transfer/panel.py::s1_row (frozen replay),
LAGO_DE,TimeMixer,MatchedDirectResidual,17,5.839970989741395,7.865456425146484,5.527120194334607,62.5156983099396,7.906686936381104,-24.08098425332661,27.632951736450195,10.136497497558594,15000.0,0.5878004999831319,0.000277700019069,2.5477065969634496e-06,FROZEN_INTERNAL_CONTROL,experiments/current/hch_unified_da_shape_upgrade/run_canary.py::fit_direct,
LAGO_DE,TimeMixer,delta_Adapter_AdaY,17,4.7169122537664006,7.187491059643965,4.335313585603494,40.85652880704715,6.391911201436324,-0.2195243969575587,0.1116037368774414,0.6432414054870605,1144.0,0.0974996999721042,0.0001626000157557,1.491743263814154e-06,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,official delta-Adapter Adapter-X+Y @ 0add06ea7b4d2e0a84c364a8be72eef2676a92f2 :: PostProcessingNet,
LAGO_PJM,PatchTST,S1_DailyPatch_GRU32,17,3.013094761807138,10.684002453773823,2.7711102920290087,18.57996601650525,4.310448470461658,0.2158642748582151,-0.3838658332824707,1.1872291564941406,14104.0,18.010182400001213,0.0005925999721512,5.436696992213026e-06,FROZEN_METHOD_REPLAY,experiments/current/hch_frozen_method_baseline_transfer/panel.py::s1_row (frozen replay),
LAGO_PJM,PatchTST,MatchedDirectResidual,17,3.6521440005763512,10.444149764359617,3.437885143674671,24.996098230929103,4.9996098078679205,-20.94741833565973,23.58541488647461,-1.0843992233276367,15000.0,0.5918296999880113,7.350003579631448e-05,6.743122550120595e-07,FROZEN_INTERNAL_CONTROL,experiments/current/hch_unified_da_shape_upgrade/run_canary.py::fit_direct,
LAGO_PJM,PatchTST,delta_Adapter_AdaY,17,2.9301941533226943,11.239428124052797,2.6680732078737948,18.203407555085217,4.266545154464583,2.9612693227058458,-4.08785343170166,6.44761323928833,289816.0,0.3581500999862328,0.0006583000067621,6.039449603322449e-06,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,official delta-Adapter Adapter-X+Y @ 0add06ea7b4d2e0a84c364a8be72eef2676a92f2 :: PostProcessingNet,
LAGO_PJM,TimeMixer,S1_DailyPatch_GRU32,17,3.061235350998428,8.174372969414806,2.899937634329142,18.006846171814047,4.24344743950176,4.9646869063667145,-3.94970178604126,-15.05892276763916,14104.0,17.740215799945872,0.0005380999646149,4.936696923073005e-06,FROZEN_METHOD_REPLAY,experiments/current/hch_frozen_method_baseline_transfer/panel.py::s1_row (frozen replay),
LAGO_PJM,TimeMixer,MatchedDirectResidual,17,3.290197944782736,10.876970214350017,3.0508675892758816,21.439106982518386,4.630238328911201,-2.143401591280216,1.0493278503417969,13.024163246154783,15000.0,0.5861892000539228,6.559997564181685e-05,6.01834638915751e-07,FROZEN_INTERNAL_CONTROL,experiments/current/hch_unified_da_shape_upgrade/run_canary.py::fit_direct,
LAGO_PJM,TimeMixer,delta_Adapter_AdaY,17,3.2548549743291817,9.668413808381818,3.052534506377995,21.4307152615496,4.629332053498604,-1.0461875983681448,1.1045336723327637,0.4658818244934082,1144.0,0.0681739000137895,0.0001483999658375,1.3614675764917233e-06,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,official delta-Adapter Adapter-X+Y @ 0add06ea7b4d2e0a84c364a8be72eef2676a92f2 :: PostProcessingNet,
GANSU_DA,PatchTST,S1_DailyPatch_GRU32,17,70.4341541722147,79.07448175643505,69.52464600545464,8005.2214164361085,89.4719029440869,2.2473246700798524,1.0181903839111328,-23.02998352050781,18712.0,12.691708800033666,0.0003282999969087,1.563333318613115e-05,FROZEN_METHOD_REPLAY,experiments/current/hch_frozen_method_baseline_transfer/panel.py::s1_row (frozen replay),
GANSU_DA,PatchTST,MatchedDirectResidual,17,93.05990871713058,131.91249899970245,88.97016237159669,14989.883778890662,122.43318087385732,-29.154032585036063,29.2722225189209,28.40182876586914,15000.0,0.4156747999950312,4.169996827840805e-05,1.9857127751622883e-06,FROZEN_INTERNAL_CONTROL,experiments/current/hch_unified_da_shape_upgrade/run_canary.py::fit_direct,
GANSU_DA,PatchTST,delta_Adapter_AdaY,17,71.57988912337962,106.40335752453343,67.91426087062658,8187.631311984917,90.48553095376585,0.6572060974691314,-1.3216674327850342,3.5715818405151367,289816.0,0.086094599973876,0.0004183000419288,1.9919049615661304e-05,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,official delta-Adapter Adapter-X+Y @ 0add06ea7b4d2e0a84c364a8be72eef2676a92f2 :: PostProcessingNet,
