bin,n,yhat_lo,yhat_hi,pi_neg,pi_pos,m_neg,m_pos,M_neg,M_pos,mean_ci_lo,mean_ci_hi,dataset,backbone,evidence_status
4,1044,27.022837448120118,30.00169849395752,0.5344827586206896,0.46551724137931033,3.077843334512471,3.1938468203132535,1.6450541960325276,1.4867907611803077,-0.5003874106360412,0.1883809158510214,LAGO_DE,PatchTST,COMPUTED
5,1044,30.00169849395752,33.0295867919922,0.4578544061302682,0.5421455938697318,3.593734278339721,3.499327619168447,1.6454070737992208,1.8971450502388323,-0.137158529814581,0.6146789348182496,LAGO_DE,PatchTST,COMPUTED
6,1045,33.0295867919922,36.41066474914551,0.4631578947368421,0.5368421052631579,4.016006304212838,4.3389937320920025,1.8600450251091039,2.329354529859917,0.0191544306238571,0.921168112829168,LAGO_DE,PatchTST,COMPUTED
7,1044,36.41066474914551,40.27498092651367,0.4616858237547893,0.5383141762452107,3.8647747593796598,4.91682470735706,1.7843117184109158,2.6467964420830152,0.36351330186373954,1.3512667238644798,LAGO_DE,PatchTST,COMPUTED
8,1044,40.27498092651367,45.51841621398927,0.4521072796934866,0.5478927203065134,3.9146102080910894,4.64711042550894,1.7698237722404158,2.5461179725968517,0.20934815192702577,1.3432693789871994,LAGO_DE,PatchTST,COMPUTED
9,1044,45.51841621398927,76.40411376953125,0.5172413793103449,0.4827586206896552,4.8114656801576965,4.114939390666901,2.4886891449091535,1.9865224644598833,-1.1740626391711897,0.17320753024401186,LAGO_DE,PatchTST,COMPUTED
0,1045,-11.705233573913574,13.668754768371581,0.8526315789473684,0.14736842105263157,6.794564728212243,7.081529171798717,5.793260452475701,1.0435937726861266,-5.703485205445145,-3.857196813299973,LAGO_DE,TCN,COMPUTED
1,1044,13.668754768371581,19.86046447753906,0.7509578544061303,0.24904214559386972,4.978074414389474,2.268967180985671,3.738324081303973,0.5650684550347456,-3.6314380852623707,-2.7363345504302194,LAGO_DE,TCN,COMPUTED
2,1044,19.86046447753906,23.981787490844734,0.7308429118773946,0.26915708812260536,3.9797504445047243,2.730539640922139,2.908572403407188,0.7349440987539474,-2.4984293631072108,-1.8430448683503295,LAGO_DE,TCN,COMPUTED
3,1045,23.981787490844734,27.15358657836914,0.6583732057416268,0.3416267942583732,3.203880565111027,2.6754630379984023,2.109349118465442,0.9140098608281624,-1.5231712102573434,-0.8934993033912116,LAGO_DE,TCN,COMPUTED
4,1044,27.15358657836914,30.061739921569824,0.49808429118773945,0.5019157088122606,2.983328437805176,3.2249613354224285,1.485949030324417,1.6186587545606825,-0.21596781901975023,0.4772251543222501,LAGO_DE,TCN,COMPUTED
5,1044,30.061739921569824,33.136268615722656,0.4396551724137931,0.5603448275862069,3.658100373345003,3.4277289871476655,1.6083027503499583,1.920710208315502,-0.07793141620052228,0.6702009417758967,LAGO_DE,TCN,COMPUTED
6,1045,33.136268615722656,36.601386642456056,0.415311004784689,0.584688995215311,3.6720803695889663,4.196273781859153,1.5250553879441258,2.4535151011635814,0.5093052954173604,1.3314120233273186,LAGO_DE,TCN,COMPUTED
7,1044,36.601386642456056,40.36107482910156,0.43486590038314177,0.5651340996168582,3.784343408592997,4.622928490072994,1.6456819037368013,2.6125745298305234,0.4952257008821291,1.416002466679844,LAGO_DE,TCN,COMPUTED
8,1044,40.36107482910156,45.84931182861328,0.4444444444444444,0.5555555555555556,3.659022799853621,4.133226213784053,1.626232355490498,2.2962367854355854,0.16399666378244573,1.134253165036724,LAGO_DE,TCN,COMPUTED
9,1044,45.84931182861328,77.03087615966797,0.5,0.5,4.93341117069639,4.019903752995633,2.466705585348195,2.0099518764978166,-1.1705997250007574,0.2314214912268495,LAGO_DE,TCN,COMPUTED
0,1045,-2.4940409660339355,19.341267013549803,0.5971291866028708,0.4028708133971292,4.87111545394724,3.4162000847046845,2.9086852088641897,1.376287306852318,-2.1060981554974134,-0.8833146399092603,LAGO_FR,Linear,COMPUTED
1,1044,19.341267013549803,24.63895149230957,0.4837164750957854,0.5162835249042146,5.1606610968561455,4.82350484978456,2.4962967949352044,2.4902960862393466,-0.5554971876540226,0.5797331420356014,LAGO_FR,Linear,COMPUTED
