candidate,mean_gain,gain_ci_lo,gain_ci_hi,harm_rate,tail_gain,normal_gain,dataset,backbone,evidence_status
identity,0.0,0.0,0.0,0.0,0.0,0.0,LAGO_BE,PatchTST,INVALID_ORACLE_DIAGNOSTIC
mean_residual,-0.30462805917374036,-0.38908339407077336,-0.2253162215545558,0.5930677901187285,1.1873830377132504,-0.383439935662529,LAGO_BE,PatchTST,INVALID_ORACLE_DIAGNOSTIC
median_residual,0.07886261905303453,0.015270797133910557,0.14600390728529153,0.4687859057832248,-0.9183466088680821,0.13153778391499674,LAGO_BE,PatchTST,INVALID_ORACLE_DIAGNOSTIC
partial_moment_neg,1.232107276874464,1.0920741488624868,1.3662874015126827,0.1126005361930295,4.832048015809786,1.0419491168742516,LAGO_BE,PatchTST,INVALID_ORACLE_DIAGNOSTIC
partial_moment_pos,1.4429985750725203,1.3319172273489444,1.553260728425672,0.0980467253925699,0.5285793968339293,1.4913005558585104,LAGO_BE,PatchTST,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_neg,0.4875172820812096,0.1842972545257102,0.7806800293344379,0.22060513213328226,11.009142556090188,-0.06826211747329675,LAGO_BE,PatchTST,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_pos,1.5172308646061405,1.3237435542059146,1.7138839538172617,0.17809268479509766,0.9420619830262046,1.547612769237984,LAGO_BE,PatchTST,INVALID_ORACLE_DIAGNOSTIC
identity,0.0,0.0,0.0,0.0,0.0,0.0,LAGO_BE,TCN,INVALID_ORACLE_DIAGNOSTIC
mean_residual,-0.23585236363215764,-0.3124351055519056,-0.1581001511050146,0.5808119494446572,0.8916093651475995,-0.29540780172495934,LAGO_BE,TCN,INVALID_ORACLE_DIAGNOSTIC
median_residual,0.05791125668277689,-0.004522703316744195,0.11981609520813209,0.47529682114132515,-0.708925582070387,0.09841755743949644,LAGO_BE,TCN,INVALID_ORACLE_DIAGNOSTIC
partial_moment_neg,1.262254612480805,1.1259701609246933,1.3992608725496696,0.11604749138261203,4.47663827804147,1.0924625720822376,LAGO_BE,TCN,INVALID_ORACLE_DIAGNOSTIC
partial_moment_pos,1.4534482932518722,1.3394498803426436,1.5655981317120957,0.09842972041363462,0.7806228389695827,1.488988670070816,LAGO_BE,TCN,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_neg,0.5588097879618137,0.2547475345910367,0.8470103685438342,0.22079662964381463,9.977381599629771,0.06129651887774001,LAGO_BE,TCN,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_pos,1.5310646564132573,1.3336161996425429,1.732535649524218,0.18019915741095366,1.4159126311563597,1.5371472835538431,LAGO_BE,TCN,INVALID_ORACLE_DIAGNOSTIC
identity,0.0,0.0,0.0,0.0,0.0,0.0,LAGO_DE,Linear,INVALID_ORACLE_DIAGNOSTIC
mean_residual,0.0379134657667071,-0.014341565642915784,0.08953528349827118,0.4787437763309077,0.37805328192642945,0.019946402896979826,LAGO_DE,Linear,INVALID_ORACLE_DIAGNOSTIC
median_residual,0.03839795039741987,-0.009071448152978168,0.08493005509055444,0.476254308693987,0.3417591793846538,0.022373627414626458,LAGO_DE,Linear,INVALID_ORACLE_DIAGNOSTIC
partial_moment_neg,0.9014152533170513,0.8134103274562876,0.986040115735582,0.09919571045576407,1.8499305530715169,0.8513122274026016,LAGO_DE,Linear,INVALID_ORACLE_DIAGNOSTIC
partial_moment_pos,0.5460932305775443,0.4899836678849429,0.5988594163697054,0.062428188433550365,0.45100577706274597,0.5511159952591729,LAGO_DE,Linear,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_neg,0.972563508008835,0.8203656198750863,1.1282805676087102,0.17253925698965913,3.3357518467332383,0.8477338014068602,LAGO_DE,Linear,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_pos,0.6289630781887755,0.5165028620261795,0.7375609259631375,0.1457296055151283,1.0125331761915988,0.6087019157539489,LAGO_DE,Linear,INVALID_ORACLE_DIAGNOSTIC
identity,0.0,0.0,0.0,0.0,0.0,0.0,LAGO_DE,LSTM,INVALID_ORACLE_DIAGNOSTIC
mean_residual,0.09787545368502973,0.04834832826886732,0.14698235670545087,0.4404442742244351,0.3305286704956068,0.08558611037769681,LAGO_DE,LSTM,INVALID_ORACLE_DIAGNOSTIC
median_residual,0.10047285135497265,0.04141406803776666,0.15826180140442214,0.4484871696667943,0.3926605341088681,0.0850387439191822,LAGO_DE,LSTM,INVALID_ORACLE_DIAGNOSTIC
partial_moment_neg,0.8066084203159114,0.7395797674718025,0.87061957739266,0.10934507851397932,1.4765357978630205,0.7712211273890279,LAGO_DE,LSTM,INVALID_ORACLE_DIAGNOSTIC
partial_moment_pos,0.36235142848152013,0.3232606770275984,0.39921546881411196,0.058981233243967826,0.38633696542074314,0.36108445052223054,LAGO_DE,LSTM,INVALID_ORACLE_DIAGNOSTIC
