model,episode_recall,episode_precision,complete_miss_rate,boundary_l1_error,duration_abs_error,event_magnitude_mae,point_recall,point_precision,overall_mae,overall_mae_ci_low,overall_mae_ci_high,normal_hour_mae,normal_hour_harm,exact_fallback_count,exact_fallback_rate,dataset,backbone
B2_gbdt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.61567613589209,34.051204421803135,41.804059701599066,38.31075906952751,614734.4400296385,17077,1.0,UNIELEC_FI,gbdt
B3_gbdt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.61567613589209,34.051204421803135,41.804059701599066,38.31075906952751,614734.4400296385,17077,1.0,UNIELEC_FI,gbdt
B4_gbdt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.61567613589209,34.051204421803135,41.804059701599066,38.31075906952751,614734.4400296385,17077,1.0,UNIELEC_FI,gbdt
E0_gbdt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.63021097639825,34.07991073180281,41.81747892888448,38.301268609505414,614084.2396162003,17064,1.0,UNIELEC_FI,gbdt
E0_NoInsert_gbdt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.63021097639825,34.07991073180281,41.81747892888448,38.301268609505414,614084.2396162003,17064,1.0,UNIELEC_FI,gbdt
E0_NoShift_gbdt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.63021097639825,34.07991073180281,41.81747892888448,38.301268609505414,614084.2396162003,17064,1.0,UNIELEC_FI,gbdt
E0_NoMatching_gbdt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.63021097639825,34.07991073180281,41.81747892888448,38.301268609505414,614084.2396162003,17064,1.0,UNIELEC_FI,gbdt
Oracle_gbdt,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,UNIELEC_FI,gbdt
B0_linear,0.20987654320987653,0.4722222222222222,0.7901234567901234,2.3529411764705883,2.176470588235294,19.629559685386397,0.16489361702127658,0.5610859728506787,24.987151328461266,23.73451404664779,26.311930290419152,23.78742477985281,387877.7484602799,17058,1.0,UNIELEC_NL,linear
B1_linear,0.19753086419753085,0.5,0.8024691358024691,2.4375,2.3125,17.979559963629832,0.15691489361702127,0.5870646766169154,24.97784884915501,23.7307393778916,26.3071389632176,23.77667195090872,387702.4128315176,16837,0.9870442021338961,UNIELEC_NL,linear
B2_linear,0.1419753086419753,0.5897435897435898,0.8580246913580247,2.3043478260869565,2.3043478260869565,19.58153496888441,0.10505319148936171,0.6869565217391305,25.06329166348431,23.80231171583709,26.412948681519026,23.799026210262852,388066.9213845461,16837,0.9870442021338961,UNIELEC_NL,linear
B3_linear,0.20987654320987653,0.4722222222222222,0.7901234567901234,2.3529411764705883,2.176470588235294,19.629559685386397,0.16489361702127658,0.5610859728506787,24.987151328461266,23.73451404664779,26.311930290419152,23.78742477985281,387877.7484602799,17058,1.0,UNIELEC_NL,linear
B4_linear,0.16049382716049382,0.5098039215686274,0.8395061728395061,2.6538461538461537,2.576923076923077,23.039682454472423,0.11702127659574468,0.624113475177305,24.963771787266218,23.712935373402555,26.31206571174849,23.74685556156608,387216.22678689647,16849,0.9877476843709696,UNIELEC_NL,linear
