market,track,host,seed,stage,block,beta_DEMAND_FC,beta_RENEWABLE_FC,beta_SUPPLY_MARGIN_FC,beta_INTERCHANGE_FC,beta_MUST_RUN_FC,objective,training_seconds,zero_init_replay_max_abs_diff,n_train_rows
GANSU_DA,A_DA,PatchTST,7,OOF,B2,-0.0383199118077755,-0.2286314070224762,0.0,0.1707257628440857,-0.03111039474606514,0.0489811897277832,0.37846159999025986,2.9802322387695312e-08,10
GANSU_DA,A_DA,PatchTST,7,OOF,B3,0.004120667465031147,-0.0021359948441386223,0.0,0.17291158437728882,-0.5488767027854919,0.045489564538002014,0.3747080999892205,5.960464477539063e-08,19
GANSU_DA,A_DA,PatchTST,7,OOF,B4,-0.07623156905174255,-0.04214008152484894,0.0,0.3874496817588806,-0.16430291533470154,0.0476541742682457,0.37752900004852563,5.960464477539063e-08,28
GANSU_DA,A_DA,PatchTST,7,FINAL,,-0.06376787275075912,-0.3134975731372833,0.0,0.14687611162662506,0.0836060494184494,0.05137522891163826,0.38326120004057884,5.960464477539063e-08,36
GANSU_DA,A_DA,PatchTST,17,OOF,B2,-0.04222925007343292,-0.14202766120433807,0.0,0.14231528341770172,-0.14308561384677887,0.04712165147066116,0.41679009998915717,5.960464477539063e-08,10
GANSU_DA,A_DA,PatchTST,17,OOF,B3,-0.013803400099277496,0.013775958679616451,0.0,0.13578836619853973,-0.539492666721344,0.04890374839305878,0.36043070000596344,5.960464477539063e-08,19
GANSU_DA,A_DA,PatchTST,17,OOF,B4,-0.09566555917263031,-0.005557237192988396,0.0,0.34464365243911743,-0.16071711480617523,0.04613247886300087,0.3663632000098005,5.960464477539063e-08,28
GANSU_DA,A_DA,PatchTST,17,FINAL,,-0.100784532725811,-0.2653372585773468,0.0,0.09056553244590759,0.06543096154928207,0.04983624443411827,0.3998439999995753,5.960464477539063e-08,36
GANSU_DA,A_DA,PatchTST,37,OOF,B2,-0.0398576594889164,-0.10035452991724014,0.0,0.1170663982629776,-0.12173391878604889,0.04149483144283295,0.3535987999639474,5.960464477539063e-08,10
GANSU_DA,A_DA,PatchTST,37,OOF,B3,0.009727276861667633,0.00878816656768322,0.0,0.13435423374176025,-0.517266035079956,0.04552765190601349,0.3982018000097014,5.960464477539063e-08,19
